vgs,vsb,vds,total_fins,length,gm,cdd,vth,gds,id,cds,cgg,cgd,cgs
0,0,0,2,14e-9,0,14.6661e-18,359.365e-3,918.34e-12,2.1747e-54,-203.088e-24,41.9125e-18,10.1562e-18,10.1562e-18
20e-3,0,0,2,14e-9,0,14.977e-18,359.365e-3,1.7883e-9,-813.464e-18,-397.424e-24,42.5347e-18,10.4673e-18,10.4673e-18
40e-3,0,0,2,14e-9,0,15.2945e-18,359.365e-3,3.4825e-9,-1.3071e-15,-777.785e-24,43.1705e-18,10.7853e-18,10.7853e-18
60e-3,0,0,2,14e-9,0,15.6156e-18,359.365e-3,6.7815e-9,-1.5131e-15,-1.5222e-21,43.8141e-18,11.1071e-18,11.1071e-18
80e-3,0,0,2,14e-9,0,15.937e-18,359.365e-3,13.2043e-9,-1.4631e-15,-2.9791e-21,44.4598e-18,11.4299e-18,11.4299e-18
100e-3,0,0,2,14e-9,0,16.2558e-18,359.365e-3,25.7061e-9,-1.1919e-15,-5.8291e-21,45.1033e-18,11.7516e-18,11.7516e-18
120e-3,0,0,2,14e-9,0,16.5707e-18,359.365e-3,50.0291e-9,-755.988e-18,-11.4e-21,45.7441e-18,12.072e-18,12.072e-18
140e-3,0,0,2,14e-9,0,16.8827e-18,359.365e-3,97.308e-9,-498.988e-18,-22.2703e-21,46.3899e-18,12.3949e-18,12.3949e-18
160e-3,0,0,2,14e-9,0,17.1984e-18,359.365e-3,189.047e-9,-1.3327e-15,-43.409e-21,47.0636e-18,12.7318e-18,12.7318e-18
180e-3,0,0,2,14e-9,0,17.5338e-18,359.365e-3,366.453e-9,-2.7901e-15,-84.2422e-21,47.8161e-18,13.1081e-18,13.1081e-18
200e-3,0,0,2,14e-9,0,17.9214e-18,359.365e-3,707.317e-9,-4.8802e-15,-162.119e-21,48.7471e-18,13.5735e-18,13.5735e-18
220e-3,0,0,2,14e-9,0,18.4193e-18,359.365e-3,1.3544e-6,-7.9020e-15,-307.159e-21,50.0329e-18,14.2164e-18,14.2164e-18
240e-3,0,0,2,14e-9,0,19.1179e-18,359.365e-3,2.5565e-6,-12.4264e-15,-566.095e-21,51.948e-18,15.174e-18,15.174e-18
260e-3,0,0,2,14e-9,0,20.1289e-18,359.365e-3,4.7093e-6,-19.4411e-15,-997.078e-21,54.8319e-18,16.616e-18,16.616e-18
280e-3,0,0,2,14e-9,0,21.5327e-18,359.365e-3,8.3545e-6,-30.4747e-15,-1.6439e-18,58.9332e-18,18.6666e-18,18.6666e-18
300e-3,0,0,2,14e-9,0,23.3016e-18,359.365e-3,14.0823e-6,-47.5501e-15,-2.4971e-18,64.1775e-18,21.2888e-18,21.2888e-18
320e-3,0,0,2,14e-9,0,25.2857e-18,359.365e-3,22.3521e-6,-72.9127e-15,-3.4843e-18,70.1201e-18,24.26e-18,24.26e-18
340e-3,0,0,2,14e-9,0,27.3011e-18,359.365e-3,33.3577e-6,-108.73e-15,-4.5137e-18,76.2095e-18,27.3048e-18,27.3048e-18
360e-3,0,0,2,14e-9,0,29.2241e-18,359.365e-3,47.026e-6,-157.006e-15,-5.5207e-18,82.0696e-18,30.2348e-18,30.2348e-18
380e-3,0,0,2,14e-9,0,31.0081e-18,359.365e-3,63.1048e-6,-219.703e-15,-6.4777e-18,87.5516e-18,32.9758e-18,32.9758e-18
400e-3,0,0,2,14e-9,0,32.6528e-18,359.365e-3,81.2534e-6,-298.904e-15,-7.3802e-18,92.6461e-18,35.523e-18,35.523e-18
420e-3,0,0,2,14e-9,0,34.1753e-18,359.365e-3,101.102e-6,-396.946e-15,-8.2321e-18,97.395e-18,37.8975e-18,37.8975e-18
440e-3,0,0,2,14e-9,0,35.5944e-18,359.365e-3,122.287e-6,-516.494e-15,-9.0390e-18,101.847e-18,40.1235e-18,40.1235e-18
460e-3,0,0,2,14e-9,0,36.9256e-18,359.365e-3,144.466e-6,-660.601e-15,-9.8051e-18,106.041e-18,42.2207e-18,42.2206e-18
480e-3,0,0,2,14e-9,0,38.18e-18,359.365e-3,167.334e-6,-832.757e-15,-10.5332e-18,110.006e-18,44.2032e-18,44.2032e-18
500e-3,0,0,2,14e-9,0,39.3658e-18,359.365e-3,190.62e-6,-1.0369e-12,-11.2248e-18,113.761e-18,46.0806e-18,46.0806e-18
520e-3,0,0,2,14e-9,0,40.4883e-18,359.365e-3,214.095e-6,-1.2776e-12,-11.881e-18,117.319e-18,47.8593e-18,47.8593e-18
540e-3,0,0,2,14e-9,0,41.5516e-18,359.365e-3,237.567e-6,-1.5599e-12,-12.5023e-18,120.688e-18,49.5439e-18,49.5439e-18
560e-3,0,0,2,14e-9,0,42.5587e-18,359.365e-3,260.878e-6,-1.8897e-12,-13.0893e-18,123.876e-18,51.1379e-18,51.1379e-18
580e-3,0,0,2,14e-9,0,43.512e-18,359.365e-3,283.905e-6,-2.2734e-12,-13.6423e-18,126.889e-18,52.6443e-18,52.6443e-18
600e-3,0,0,2,14e-9,0,44.4139e-18,359.365e-3,306.549e-6,-2.7183e-12,-14.1621e-18,129.732e-18,54.066e-18,54.066e-18
620e-3,0,0,2,14e-9,0,45.2663e-18,359.365e-3,328.737e-6,-3.2328e-12,-14.6496e-18,132.412e-18,55.4058e-18,55.4058e-18
640e-3,0,0,2,14e-9,0,46.0712e-18,359.365e-3,350.414e-6,-3.8260e-12,-15.1056e-18,134.934e-18,56.6668e-18,56.6668e-18
660e-3,0,0,2,14e-9,0,46.8307e-18,359.365e-3,371.543e-6,-4.5085e-12,-15.5314e-18,137.304e-18,57.8521e-18,57.8521e-18
