vsg,vsb,vsd,total_fins,length,gm,cdd,vth,gds,id,cds,cgg,cgd,cgs
0,0,-0,2,14e-9,-0,43.0136e-18,-362.643e-3,1.0405e-9,-3.4513e-51,-242.745e-24,43.4274e-18,17.1537e-18,17.1537e-18
20e-3,0,-0,2,14e-9,-0,43.3222e-18,-362.643e-3,2.0176e-9,2.2708e-18,-474.784e-24,44.0451e-18,17.4626e-18,17.4626e-18
40e-3,0,-0,2,14e-9,-0,43.6459e-18,-362.643e-3,3.9121e-9,3.6022e-18,-928.661e-24,44.6934e-18,17.7867e-18,17.7867e-18
60e-3,0,-0,2,14e-9,-0,43.9832e-18,-362.643e-3,7.5851e-9,4.2144e-18,-1.8164e-21,45.3698e-18,18.1249e-18,18.1249e-18
80e-3,0,-0,2,14e-9,-0,44.3322e-18,-362.643e-3,14.7053e-9,4.2975e-18,-3.5525e-21,46.0713e-18,18.4756e-18,18.4756e-18
100e-3,0,-0,2,14e-9,-0,44.691e-18,-362.643e-3,28.5039e-9,4.0281e-18,-6.9461e-21,46.7956e-18,18.8378e-18,18.8378e-18
120e-3,0,-0,2,14e-9,-0,45.0586e-18,-362.643e-3,55.231e-9,3.5964e-18,-13.574e-21,47.544e-18,19.212e-18,19.212e-18
140e-3,0,-0,2,14e-9,-0,45.4363e-18,-362.643e-3,106.947e-9,3.2571e-18,-26.4941e-21,48.3253e-18,19.6026e-18,19.6026e-18
160e-3,0,-0,2,14e-9,-0,45.8308e-18,-362.643e-3,206.816e-9,3.4390e-18,-51.5885e-21,49.1646e-18,20.0223e-18,20.0223e-18
180e-3,0,-0,2,14e-9,-0,46.2592e-18,-362.643e-3,398.946e-9,5.1431e-18,-99.9852e-21,50.118e-18,20.499e-18,20.499e-18
200e-3,0,-0,2,14e-9,-0,46.7566e-18,-362.643e-3,765.927e-9,11.1172e-18,-192.076e-21,51.2971e-18,21.0886e-18,21.0886e-18
220e-3,0,-0,2,14e-9,-0,47.3873e-18,-362.643e-3,1.4576e-6,23.6336e-18,-363e-21,52.9004e-18,21.8902e-18,21.8902e-18
240e-3,0,-0,2,14e-9,-0,48.2514e-18,-362.643e-3,2.7308e-6,47.7559e-18,-666.561e-21,55.2357e-18,23.0578e-18,23.0578e-18
260e-3,0,-0,2,14e-9,-0,49.47e-18,-362.643e-3,4.9834e-6,93.0113e-18,-1.1679e-18,58.6757e-18,24.7778e-18,24.7778e-18
280e-3,0,-0,2,14e-9,-0,51.1246e-18,-362.643e-3,8.7384e-6,174.435e-18,-1.9126e-18,63.4742e-18,27.1771e-18,27.1771e-18
300e-3,0,-0,2,14e-9,-0,53.1721e-18,-362.643e-3,14.528e-6,312.58e-18,-2.8812e-18,69.5065e-18,30.1933e-18,30.1933e-18
320e-3,0,-0,2,14e-9,-0,55.4334e-18,-362.643e-3,22.7163e-6,531.762e-18,-3.9816e-18,76.23e-18,33.555e-18,33.555e-18
340e-3,0,-0,2,14e-9,-0,57.6942e-18,-362.643e-3,33.3938e-6,858.141e-18,-5.1005e-18,82.9892e-18,36.9346e-18,36.9346e-18
360e-3,0,-0,2,14e-9,-0,59.8084e-18,-362.643e-3,46.4157e-6,1.3195e-15,-6.1581e-18,89.3328e-18,40.1064e-18,40.1064e-18
380e-3,0,-0,2,14e-9,-0,61.718e-18,-362.643e-3,61.5085e-6,1.9471e-15,-7.1202e-18,95.0763e-18,42.9781e-18,42.9781e-18
400e-3,0,-0,2,14e-9,-0,63.4212e-18,-362.643e-3,78.36e-6,2.7770e-15,-7.9827e-18,100.208e-18,45.5438e-18,45.5438e-18
420e-3,0,-0,2,14e-9,-0,64.9396e-18,-362.643e-3,96.6641e-6,3.8529e-15,-8.7546e-18,104.788e-18,47.8342e-18,47.8342e-18
440e-3,0,-0,2,14e-9,-0,66.3004e-18,-362.643e-3,116.139e-6,5.2272e-15,-9.4488e-18,108.898e-18,49.8891e-18,49.8891e-18
460e-3,0,-0,2,14e-9,-0,67.5289e-18,-362.643e-3,136.529e-6,6.9630e-15,-10.0772e-18,112.612e-18,51.746e-18,51.746e-18
480e-3,0,-0,2,14e-9,-0,68.6462e-18,-362.643e-3,157.605e-6,9.1365e-15,-10.6501e-18,115.993e-18,53.4363e-18,53.4363e-18
500e-3,0,-0,2,14e-9,-0,69.6697e-18,-362.643e-3,179.163e-6,11.8387e-15,-11.1761e-18,119.091e-18,54.9857e-18,54.9857e-18
520e-3,0,-0,2,14e-9,-0,70.6131e-18,-362.643e-3,201.019e-6,15.1789e-15,-11.6619e-18,121.95e-18,56.4149e-18,56.4149e-18
540e-3,0,-0,2,14e-9,-0,71.4875e-18,-362.643e-3,223.011e-6,19.2876e-15,-12.113e-18,124.601e-18,57.7404e-18,57.7404e-18
560e-3,0,-0,2,14e-9,-0,72.3021e-18,-362.643e-3,244.996e-6,24.3207e-15,-12.5337e-18,127.071e-18,58.9756e-18,58.9756e-18
580e-3,0,-0,2,14e-9,-0,73.064e-18,-362.643e-3,266.849e-6,30.4639e-15,-12.9277e-18,129.383e-18,60.1316e-18,60.1316e-18
600e-3,0,-0,2,14e-9,-0,73.7794e-18,-362.643e-3,288.462e-6,37.9384e-15,-13.2981e-18,131.555e-18,61.2174e-18,61.2174e-18
620e-3,0,-0,2,14e-9,-0,74.4534e-18,-362.643e-3,309.741e-6,47.0077e-15,-13.6472e-18,133.601e-18,62.2405e-18,62.2405e-18
640e-3,0,-0,2,14e-9,-0,75.0902e-18,-362.643e-3,330.61e-6,57.9848e-15,-13.9773e-18,135.535e-18,63.2074e-18,63.2074e-18
660e-3,0,-0,2,14e-9,-0,75.6935e-18,-362.643e-3,351.003e-6,71.2419e-15,-14.29e-18,137.367e-18,64.1234e-18,64.1234e-18
680e-3,0,-0,2,14e-9,-0,76.2664e-18,-362.643e-3,370.867e-6,87.2209e-15,-14.587e-18,139.107e-18,64.9933e-18,64.9933e-18
700e-3,0,-0,2,14e-9,-0,76.8116e-18,-362.643e-3,390.161e-6,106.446e-15,-14.8697e-18,140.762e-18,65.8212e-18,65.8212e-18
720e-3,0,-0,2,14e-9,-0,77.3315e-18,-362.643e-3,408.853e-6,129.541e-15,-15.1391e-18,142.341e-18,66.6104e-18,66.6104e-18
740e-3,0,-0,2,14e-9,-0,77.828e-18,-362.643e-3,426.919e-6,157.243e-15,-15.3963e-18,143.848e-18,67.3642e-18,67.3642e-18
760e-3,0,-0,2,14e-9,-0,78.3031e-18,-362.643e-3,444.343e-6,190.427e-15,-15.6423e-18,145.291e-18,68.0853e-18,68.0853e-18
780e-3,0,-0,2,14e-9,-0,78.7584e-18,-362.643e-3,461.117e-6,230.131e-15,-15.8778e-18,146.672e-18,68.7761e-18,68.7761e-18
800e-3,0,-0,2,14e-9,-0,79.1953e-18,-362.643e-3,477.236e-6,277.582e-15,-16.1036e-18,147.998e-18,69.4388e-18,69.4388e-18
0,0,-0,6,14e-9,-0,125.425e-18,-365.742e-3,2.9110e-9,-10.3529e-51,-657.455e-24,130.454e-18,51.5472e-18,51.5472e-18
20e-3,0,-0,6,14e-9,-0,126.355e-18,-365.742e-3,5.6445e-9,6.6664e-18,-1.2859e-21,132.316e-18,52.4779e-18,52.4779e-18
40e-3,0,-0,6,14e-9,-0,127.33e-18,-365.742e-3,10.9447e-9,10.5567e-18,-2.5152e-21,134.268e-18,53.4539e-18,53.4539e-18
60e-3,0,-0,6,14e-9,-0,128.344e-18,-365.742e-3,21.2206e-9,12.3205e-18,-4.9199e-21,136.302e-18,54.4709e-18,54.4709e-18
80e-3,0,-0,6,14e-9,-0,129.392e-18,-365.742e-3,41.1411e-9,12.5167e-18,-9.6227e-21,138.408e-18,55.5239e-18,55.5239e-18
100e-3,0,-0,6,14e-9,-0,130.468e-18,-365.742e-3,79.7484e-9,11.6595e-18,-18.8168e-21,140.578e-18,56.6088e-18,56.6088e-18
120e-3,0,-0,6,14e-9,-0,131.567e-18,-365.742e-3,154.536e-9,10.2938e-18,-36.7766e-21,142.811e-18,57.7256e-18,57.7256e-18
140e-3,0,-0,6,14e-9,-0,132.691e-18,-365.742e-3,299.277e-9,9.1360e-18,-71.8008e-21,145.13e-18,58.8849e-18,58.8849e-18
160e-3,0,-0,6,14e-9,-0,133.858e-18,-365.742e-3,578.9e-9,9.3874e-18,-139.879e-21,147.599e-18,60.1195e-18,60.1195e-18
180e-3,0,-0,6,14e-9,-0,135.112e-18,-365.742e-3,1.1172e-6,14.0709e-18,-271.362e-21,150.37e-18,61.505e-18,61.505e-18
200e-3,0,-0,6,14e-9,-0,136.549e-18,-365.742e-3,2.1469e-6,30.9351e-18,-522.223e-21,153.747e-18,63.1933e-18,63.1933e-18
220e-3,0,-0,6,14e-9,-0,138.348e-18,-365.742e-3,4.0928e-6,65.6537e-18,-990.112e-21,158.28e-18,65.4598e-18,65.4598e-18
240e-3,0,-0,6,14e-9,-0,140.793e-18,-365.742e-3,7.6909e-6,132.374e-18,-1.8281e-18,164.845e-18,68.7427e-18,68.7427e-18
260e-3,0,-0,6,14e-9,-0,144.247e-18,-365.742e-3,14.1035e-6,257.73e-18,-3.2309e-18,174.559e-18,73.5994e-18,73.5994e-18
280e-3,0,-0,6,14e-9,-0,148.99e-18,-365.742e-3,24.9046e-6,484.504e-18,-5.3531e-18,188.291e-18,80.4655e-18,80.4655e-18
300e-3,0,-0,6,14e-9,-0,154.965e-18,-365.742e-3,41.7716e-6,872.485e-18,-8.1731e-18,205.88e-18,89.2602e-18,89.2602e-18
320e-3,0,-0,6,14e-9,-0,161.682e-18,-365.742e-3,65.9392e-6,1.4938e-15,-11.4408e-18,225.85e-18,99.2448e-18,99.2448e-18
340e-3,0,-0,6,14e-9,-0,168.489e-18,-365.742e-3,97.8123e-6,2.4266e-15,-14.8119e-18,246.206e-18,109.423e-18,109.423e-18
360e-3,0,-0,6,14e-9,-0,174.906e-18,-365.742e-3,137.022e-6,3.7541e-15,-18.0255e-18,265.467e-18,119.054e-18,119.054e-18
380e-3,0,-0,6,14e-9,-0,180.723e-18,-365.742e-3,182.75e-6,5.5677e-15,-20.96e-18,282.969e-18,127.805e-18,127.805e-18
400e-3,0,-0,6,14e-9,-0,185.915e-18,-365.742e-3,234.022e-6,7.9742e-15,-23.5931e-18,298.619e-18,135.63e-18,135.63e-18
420e-3,0,-0,6,14e-9,-0,190.541e-18,-365.742e-3,289.874e-6,11.1008e-15,-25.9486e-18,312.583e-18,142.611e-18,142.611e-18
440e-3,0,-0,6,14e-9,-0,194.682e-18,-365.742e-3,349.41e-6,15.101e-15,-28.0641e-18,325.097e-18,148.868e-18,148.868e-18
460e-3,0,-0,6,14e-9,-0,198.416e-18,-365.742e-3,411.822e-6,20.1597e-15,-29.9769e-18,336.39e-18,154.515e-18,154.515e-18
480e-3,0,-0,6,14e-9,-0,201.809e-18,-365.742e-3,476.386e-6,26.4996e-15,-31.7188e-18,346.659e-18,159.65e-18,159.65e-18
500e-3,0,-0,6,14e-9,-0,204.913e-18,-365.742e-3,542.454e-6,34.3879e-15,-33.3162e-18,356.063e-18,164.352e-18,164.352e-18
520e-3,0,-0,6,14e-9,-0,207.773e-18,-365.742e-3,609.452e-6,44.1443e-15,-34.79e-18,364.729e-18,168.685e-18,168.684e-18
540e-3,0,-0,6,14e-9,-0,210.421e-18,-365.742e-3,676.868e-6,56.1514e-15,-36.1574e-18,372.76e-18,172.7e-18,172.7e-18
