vgs,vds,vsb,fins,length,id,gm,gds,cdd,cgg
0.0,0.0,0.0,2.0,1.0,-0.0,0.0,8.328e-10,1.4764804070635134e-17,4.190549651609604e-17
0.02,0.0,0.0,2.0,1.0,-0.0,0.0,1.629e-09,1.5075156209664328e-17,4.2542116288463623e-17
0.04,0.0,0.0,2.0,1.0,-0.0,0.0,3.186e-09,1.5393466095848118e-17,4.316282056652202e-17
0.06,0.0,0.0,2.0,1.0,-0.0,0.0,6.232e-09,1.5713367531462828e-17,4.381535583319879e-17
0.08,0.0,0.0,2.0,1.0,-0.0,0.0,1.219e-08,1.604281826366305e-17,4.445197560556637e-17
0.1,0.0,0.0,2.0,1.0,-0.0,0.0,2.384e-08,1.636112814984684e-17,4.5104510872243137e-17
0.12,0.0,0.0,2.0,1.0,-0.0,0.0,4.66e-08,1.6663522541721442e-17,4.574113064461072e-17
0.14,0.0,0.0,2.0,1.0,-0.0,0.0,9.106e-08,1.6981832427905235e-17,4.6377750416978303e-17
0.16,0.0,0.0,2.0,1.0,-0.0,0.0,1.777e-07,1.7300142314089025e-17,4.704620117796426e-17
0.18,0.0,0.0,2.0,1.0,-0.0,0.0,3.461e-07,1.7618452200272815e-17,4.7794229410496176e-17
0.2,0.0,0.0,2.0,1.0,-0.0,0.0,6.713e-07,1.8000424063693365e-17,4.8701412586119975e-17
0.22,0.0,0.0,2.0,1.0,-0.0,0.0,1.292e-06,1.849380438727824e-17,4.995873663654595e-17
0.24,0.0,0.0,2.0,1.0,-0.0,0.0,2.452e-06,1.9178170642573387e-17,5.183676496503031e-17
0.26,0.0,0.0,2.0,1.0,-0.0,0.0,4.543e-06,2.018084678405233e-17,5.466972295206606e-17
0.28,0.0,0.0,2.0,1.0,-0.0,0.0,8.109e-06,2.1565494788951823e-17,5.872817400090938e-17
0.3,0.0,0.0,2.0,1.0,-0.0,0.0,1.375e-05,2.333211465727186e-17,6.396437162863273e-17
0.32,0.0,0.0,2.0,1.0,-0.0,0.0,2.194e-05,2.5321551445920547e-17,6.993268199457882e-17
0.34,0.0,0.0,2.0,1.0,-0.0,0.0,3.289e-05,2.7342819223187622e-17,7.606014730361678e-17
0.36,0.0,0.0,2.0,1.0,-0.0,0.0,4.654e-05,2.928450952890874e-17,8.194888019801692e-17
0.38,0.0,0.0,2.0,1.0,-0.0,0.0,6.262e-05,3.108296038584716e-17,8.747155672330568e-17
0.4,0.0,0.0,2.0,1.0,-0.0,0.0,8.079e-05,3.2738171794002874e-17,9.259634589086471e-17
0.42,0.0,0.0,2.0,1.0,-0.0,0.0,0.0001007,3.426605924768507e-17,9.735507868931239e-17
0.44,0.0,0.0,2.0,1.0,-0.0,0.0,0.0001219,3.568253824120294e-17,1.0182733259019465e-16
0.46,0.0,0.0,2.0,1.0,-0.0,0.0,0.0001442,3.701943976317486e-17,1.0602902308782069e-16
0.48,0.0,0.0,2.0,1.0,-0.0,0.0,0.0001671,3.827676381360083e-17,1.1000789666511807e-16
0.5,0.0,0.0,2.0,1.0,-0.0,0.0,0.0001905,3.9470425886790043e-17,1.1377986881639598e-16
0.52,0.0,0.0,2.0,1.0,-0.0,0.0,0.0002141,4.0600425982742504e-17,1.1734493954165443e-16
0.54,0.0,0.0,2.0,1.0,-0.0,0.0,0.0002376,4.1666764101458196e-17,1.207190243352026e-16
0.56,0.0,0.0,2.0,1.0,-0.0,0.0,0.000261,4.266944024293714e-17,1.2390212319704052e-16
0.58,0.0,0.0,2.0,1.0,-0.0,0.0,0.0002842,4.3624369901488513e-17,1.2692606711578655e-16
0.6,0.0,0.0,2.0,1.0,-0.0,0.0,0.0003069,4.453155307711232e-17,1.2977494059713148e-16
0.62,0.0,0.0,2.0,1.0,-0.0,0.0,0.0003292,4.537507427549937e-17,1.324646591353845e-16
0.64,0.0,0.0,2.0,1.0,-0.0,0.0,0.0003509,4.618676448526803e-17,1.3497930723623645e-16
0.66,0.0,0.0,2.0,1.0,-0.0,0.0,0.0003721,4.6950708212109127e-17,1.373507158883057e-16
0.68,0.0,0.0,2.0,1.0,-0.0,0.0,0.0003927,4.7666905456022656e-17,1.3957888509159222e-16
0.7,0.0,0.0,2.0,1.0,-0.0,0.0,0.0004128,4.833535621700862e-17,1.4167973034040523e-16
0.72,0.0,0.0,2.0,1.0,-0.0,0.0,0.0004322,4.8971975989376195e-17,1.4363733614043554e-16
0.74,0.0,0.0,2.0,1.0,-0.0,0.0,0.0004511,4.95767647731254e-17,1.4546761798599236e-16
0.76,0.0,0.0,2.0,1.0,-0.0,0.0,0.0004693,5.0133807073947034e-17,1.4717057587707562e-16
0.78,0.0,0.0,2.0,1.0,-0.0,0.0,0.000487,5.065901838615029e-17,1.4877804080230377e-16
0.8,0.0,0.0,2.0,1.0,-0.0,0.0,0.0005041,5.1168314204044354e-17,1.5027409726736758e-16
0.0,0.02,0.0,2.0,1.0,1.213e-11,4.5211168322309053e-10,4.247e-10,1.4440127986727664e-17,4.1603102124221445e-17
0.02,0.02,0.0,2.0,1.0,2.372e-11,7.829949462588625e-10,8.307e-10,1.4740930829171345e-17,4.2223806402279833e-17
0.04,0.02,0.0,2.0,1.0,4.639e-11,1.5579353575571747e-09,1.625e-09,1.5052874517631462e-17,4.284451068033823e-17
0.06,0.02,0.0,2.0,1.0,9.075e-11,3.0410185320746564e-09,3.178e-09,1.5369592854384336e-17,4.3497045947014994e-17
0.08,0.02,0.0,2.0,1.0,1.775e-10,5.9469418142932185e-09,6.217e-09,1.5691085839429962e-17,4.413366571938258e-17
0.1,0.02,0.0,2.0,1.0,3.471e-10,1.1628512201936892e-08,1.216e-08,1.6010987275044672e-17,4.4786200986059346e-17
0.12,0.02,0.0,2.0,1.0,6.788e-10,2.2743374098034883e-08,2.378e-08,1.6329297161228462e-17,4.542282075842693e-17
0.14,0.02,0.0,2.0,1.0,1.327e-09,4.440117575644051e-08,4.649e-08,1.6647607047412253e-17,4.6059440530794513e-17
0.16,0.02,0.0,2.0,1.0,2.591e-09,8.651717334188335e-08,9.083e-08,1.6950001439286853e-17,4.671197579747128e-17
0.18,0.02,0.0,2.0,1.0,5.051e-09,1.6819783421500016e-07,1.773e-07,1.7268311325470647e-17,4.741225754707562e-17
0.2,0.02,0.0,2.0,1.0,9.816e-09,3.245690648205885e-07,3.452e-07,1.7602536705963626e-17,4.823986325115348e-17
0.22,0.02,0.0,2.0,1.0,1.896e-08,6.201096136832976e-07,6.696e-07,1.7984508569384176e-17,4.9338032358487556e-17
0.24,0.02,0.0,2.0,1.0,3.624e-08,1.158994924932739e-06,1.289e-06,1.846197339865986e-17,5.089775080078813e-17
0.26,0.02,0.0,2.0,1.0,6.794e-08,2.091540906395131e-06,2.446e-06,1.9146339653955012e-17,5.326915945285737e-17
0.28,0.02,0.0,2.0,1.0,1.235e-07,3.5646839336124353e-06,4.531e-06,2.0117184806815575e-17,5.67228217179515e-17
0.3,0.02,0.0,2.0,1.0,2.145e-07,5.634634781087514e-06,8.085e-06,2.147000182309668e-17,6.140197704485323e-17
0.32,0.02,0.0,2.0,1.0,3.521e-07,8.187504797019662e-06,1.371e-05,2.3172959714179962e-17,6.700423104168794e-17
0.34,0.02,0.0,2.0,1.0,5.433e-07,1.0935670679807221e-05,2.187e-05,2.5114650019901085e-17,7.303620338487077e-17
0.36,0.02,0.0,2.0,1.0,7.892e-07,1.363474434754735e-05,3.278e-05,2.7088171314240585e-17,7.903634473943523e-17
0.38,0.02,0.0,2.0,1.0,1.087e-06,1.607997116886225e-05,4.637e-05,2.8998030631343335e-17,8.471817620781589e-17
0.4,0.02,0.0,2.0,1.0,1.43e-06,1.816481386333375e-05,6.24e-05,3.079648148828175e-17,9.0018035812776e-17
0.42,0.02,0.0,2.0,1.0,1.811e-06,1.9860164159976394e-05,8.052e-05,3.245169289643746e-17,9.496775454293396e-17
0.44,0.02,0.0,2.0,1.0,2.222e-06,2.1193968375078227e-05,0.0001004,3.399549584442885e-17,9.958324789259893e-17
0.46,0.02,0.0,2.0,1.0,2.657e-06,2.2263481378267776e-05,0.0001215,3.544380582656509e-17,1.0391226234469848e-16
0.48,0.02,0.0,2.0,1.0,3.11e-06,2.2951544990167674e-05,0.0001437,3.67966228428462e-17,1.0800254438216018e-16
0.5,0.02,0.0,2.0,1.0,3.573e-06,2.3329857699619542e-05,0.0001666,3.806986238758137e-17,1.118859249936024e-16
0.52,0.02,0.0,2.0,1.0,4.042e-06,2.3528703570391935e-05,0.0001899,3.926352446077058e-17,1.1554648868471603e-16
