vsg,vsd,vsb,fins,length,id,gm,gds,cdd,cgg
0.0,0.0,0.0,2.0,1.0,0.0,-1.3801280608932204e-16,9.759e-10,4.309915858928526e-17,4.341746847546905e-17
0.02,0.0,0.0,2.0,1.0,2.246e-18,-8.728593072322618e-17,1.9e-09,4.340155298115986e-17,4.402225725921825e-17
0.04,0.0,0.0,2.0,1.0,3.565e-18,-4.6461755779382285e-17,3.7e-09,4.373577836165284e-17,4.4674792525895025e-17
0.06,0.0,0.0,2.0,1.0,4.172e-18,-1.5783198447671352e-17,7.204e-09,4.407000374214582e-17,4.5343243286880984e-17
0.08,0.0,0.0,2.0,1.0,4.255e-18,6.0800806466898994e-18,1.402e-08,4.442014461694799e-17,4.6059440530794513e-17
0.1,0.0,0.0,2.0,1.0,3.987e-18,1.9198567258014907e-17,2.73e-08,4.477028549175016e-17,4.677563777470804e-17
0.12,0.0,0.0,2.0,1.0,3.552e-18,2.2558415869581765e-17,5.312e-08,4.513634186086152e-17,4.752366600723995e-17
0.14,0.0,0.0,2.0,1.0,3.196e-18,9.191436624713245e-18,1.033e-07,4.551831372428207e-17,4.8303525228390236e-17
0.16,0.0,0.0,2.0,1.0,3.33e-18,-2.6078791572213416e-17,2.006e-07,4.591620108201181e-17,4.9131130932468087e-17
0.18,0.0,0.0,2.0,1.0,4.906e-18,-1.615216810118027e-16,3.886e-07,4.633000393405074e-17,5.0086060591019463e-17
0.2,0.0,0.0,2.0,1.0,1.06e-17,-4.1853143809104334e-16,7.494e-07,4.68392997519448e-17,5.12478916755903e-17
0.22,0.0,0.0,2.0,1.0,2.265e-17,-8.262388188422049e-16,1.432e-06,4.7460004030003193e-17,5.283944110650926e-17
0.24,0.0,0.0,2.0,1.0,4.596e-17,-1.5810841877716976e-15,2.696e-06,4.831944072269942e-17,5.516310327565093e-17
0.26,0.0,0.0,2.0,1.0,8.987e-17,-2.9333927657740895e-15,4.943e-06,4.9529018290197826e-17,5.858493455212668e-17
0.28,0.0,0.0,2.0,1.0,1.692e-16,-5.172754366957968e-15,8.705e-06,5.1184229698353546e-17,6.339141383350191e-17
0.3,0.0,0.0,2.0,1.0,3.043e-16,-8.54186852212677e-15,1.453e-05,5.3237328464239e-17,6.945521716530313e-17
0.32,0.0,0.0,2.0,1.0,5.192e-16,-1.3161772744934532e-14,2.279e-05,5.55132441504531e-17,7.621930224670868e-17
0.34,0.0,0.0,2.0,1.0,8.398e-16,-1.91381968085999e-14,3.357e-05,5.77891598366672e-17,8.301521831673261e-17
0.36,0.0,0.0,2.0,1.0,1.294e-15,-2.650772859552761e-14,4.673e-05,5.99218360740986e-17,8.938141604040842e-17
0.38,0.0,0.0,2.0,1.0,1.911e-15,-3.551355012926911e-14,6.199e-05,6.183169539120135e-17,9.515874047464423e-17
0.4,0.0,0.0,2.0,1.0,2.728e-15,-4.6541285313032306e-14,7.902e-05,6.355056877659381e-17,1.0029944513651244e-16
0.42,0.0,0.0,2.0,1.0,3.788e-15,-5.987507614989569e-14,9.751e-05,6.506254073596682e-17,1.0488310749755904e-16
0.44,0.0,0.0,2.0,1.0,5.142e-15,-7.60629792210813e-14,0.0001172,6.643127324655711e-17,1.0900522052363912e-16
0.46,0.0,0.0,2.0,1.0,6.853e-15,-9.562849794223758e-14,0.0001378,6.765676630836471e-17,1.1272944619198947e-16
0.48,0.0,0.0,2.0,1.0,8.995e-15,-1.1937968230991022e-13,0.000159,6.877085091000798e-17,1.1610353098553767e-16
0.5,0.0,0.0,2.0,1.0,1.166e-14,-1.4791054836142984e-13,0.0001807,6.98053580401053e-17,1.1920705237582963e-16
0.52,0.0,0.0,2.0,1.0,1.495e-14,-1.8223762323284657e-13,0.0002028,7.074437220434749e-17,1.2205592585717456e-16
0.54,0.0,0.0,2.0,1.0,1.9e-14,-2.241507823426273e-13,0.0002249,7.161972439135291e-17,1.2471381340680918e-16
0.56,0.0,0.0,2.0,1.0,2.397e-14,-2.741724738362958e-13,0.000247,7.243141460112157e-17,1.2718071502473357e-16
0.58,0.0,0.0,2.0,1.0,3.003e-14,-3.3367495355906026e-13,0.000269,7.319535832796267e-17,1.2948846169956605e-16
0.6,0.0,0.0,2.0,1.0,3.74e-14,-4.056473511863431e-13,0.0002907,7.39115555718762e-17,1.3166888441992502e-16
0.62,0.0,0.0,2.0,1.0,4.635e-14,-4.917584873640542e-13,0.0003121,7.458000633286217e-17,1.3370606769150129e-16
0.64,0.0,0.0,2.0,1.0,5.718e-14,-5.943455530379482e-13,0.0003331,7.521662610522975e-17,1.356318425029132e-16
0.66,0.0,0.0,2.0,1.0,7.026e-14,-7.173917653814949e-13,0.0003535,7.582141488897894e-17,1.3746212434847002e-16
0.68,0.0,0.0,2.0,1.0,8.603e-14,-8.636254615502134e-13,0.0003735,7.639437268410977e-17,1.3921282872248086e-16
0.7,0.0,0.0,2.0,1.0,1.05e-13,-1.0391520797546696e-12,0.0003928,7.69354994906222e-17,1.4086804013063657e-16
0.72,0.0,0.0,2.0,1.0,1.278e-13,-1.2453183235873373e-12,0.0004116,7.746071080282547e-17,1.4244367406724634e-16
0.74,0.0,0.0,2.0,1.0,1.551e-13,-1.4946415596966967e-12,0.0004297,7.795409112641034e-17,1.4393973053231015e-16
0.76,0.0,0.0,2.0,1.0,1.879e-13,-1.7911915898541646e-12,0.0004472,7.843155595568603e-17,1.4538804051444638e-16
0.78,0.0,0.0,2.0,1.0,2.271e-13,-2.1406802571510324e-12,0.000464,7.887718979634333e-17,1.467567730250367e-16
0.8,0.0,0.0,2.0,1.0,2.74e-13,-2.552066648883549e-12,0.0004801,7.932282363700064e-17,1.4809367454700862e-16
