vgs,vsb,vds,total_fins,length,gm,cdd,vth,gds,id,cds,cgg,cgd,cgs,
0,0,0,2,14e-9,0,17.6675e-18,299.618e-3,31.3591e-9,13.922e-54,-3.2506e-21,40.8332e-18,9.9166e-18,9.9166e-18,
20e-3,0,0,2,14e-9,0,17.9429e-18,299.618e-3,57.6206e-9,-358.134e-18,-6.0028e-21,41.3896e-18,10.1948e-18,10.1948e-18,
40e-3,0,0,2,14e-9,0,18.2158e-18,299.618e-3,105.841e-9,-400.77e-18,-11.0796e-21,41.9455e-18,10.4727e-18,10.4727e-18,
60e-3,0,0,2,14e-9,0,18.4865e-18,299.618e-3,194.303e-9,-263.031e-18,-20.4292e-21,42.5056e-18,10.7528e-18,10.7528e-18,
80e-3,0,0,2,14e-9,0,18.7591e-18,299.618e-3,356.324e-9,-669.746e-18,-37.5959e-21,43.0851e-18,11.0425e-18,11.0425e-18,
100e-3,0,0,2,14e-9,0,19.0437e-18,299.618e-3,652.193e-9,-1.6633e-15,-68.9392e-21,43.7171e-18,11.3586e-18,11.3586e-18,
120e-3,0,0,2,14e-9,0,19.3608e-18,299.618e-3,1.1896e-6,-3.1523e-15,-125.589e-21,44.4646e-18,11.7323e-18,11.7323e-18,
140e-3,0,0,2,14e-9,0,19.7458e-18,299.618e-3,2.1565e-6,-5.2404e-15,-226.152e-21,45.4357e-18,12.2179e-18,12.2179e-18,
160e-3,0,0,2,14e-9,0,20.2543e-18,299.618e-3,3.8679e-6,-8.1209e-15,-399.254e-21,46.7988e-18,12.8994e-18,12.8994e-18,
180e-3,0,0,2,14e-9,0,20.9591e-18,299.618e-3,6.8162e-6,-12.1153e-15,-682.679e-21,48.7753e-18,13.8877e-18,13.8877e-18,
200e-3,0,0,2,14e-9,0,21.9298e-18,299.618e-3,11.6895e-6,-17.7268e-15,-1.1133e-18,51.5781e-18,15.2891e-18,15.2891e-18,
220e-3,0,0,2,14e-9,0,23.1908e-18,299.618e-3,19.2951e-6,-25.6715e-15,-1.7061e-18,55.2856e-18,17.1428e-18,17.1428e-18,
240e-3,0,0,2,14e-9,0,24.6869e-18,299.618e-3,30.365e-6,-36.8495e-15,-2.4364e-18,59.7384e-18,19.3692e-18,19.3692e-18,
260e-3,0,0,2,14e-9,0,26.3028e-18,299.618e-3,45.3343e-6,-52.2623e-15,-3.2479e-18,64.5934e-18,21.7967e-18,21.7967e-18,
280e-3,0,0,2,14e-9,0,27.9235e-18,299.618e-3,64.2439e-6,-72.9416e-15,-4.0827e-18,69.5042e-18,24.2521e-18,24.2521e-18,
300e-3,0,0,2,14e-9,0,29.4766e-18,299.618e-3,86.8063e-6,-99.9379e-15,-4.9022e-18,74.2496e-18,26.6248e-18,26.6248e-18,
320e-3,0,0,2,14e-9,0,30.9344e-18,299.618e-3,112.543e-6,-134.359e-15,-5.6895e-18,78.7398e-18,28.8699e-18,28.8699e-18,
340e-3,0,0,2,14e-9,0,32.2957e-18,299.618e-3,140.904e-6,-177.425e-15,-6.4404e-18,82.9642e-18,30.9821e-18,30.9821e-18,
360e-3,0,0,2,14e-9,0,33.5697e-18,299.618e-3,171.342e-6,-230.51e-15,-7.1561e-18,86.9434e-18,32.9717e-18,32.9717e-18,
380e-3,0,0,2,14e-9,0,34.7673e-18,299.618e-3,203.351e-6,-295.186e-15,-7.8389e-18,90.7041e-18,34.8521e-18,34.8521e-18,
400e-3,0,0,2,14e-9,0,35.8979e-18,299.618e-3,236.481e-6,-373.255e-15,-8.4908e-18,94.2693e-18,36.6346e-18,36.6346e-18,
420e-3,0,0,2,14e-9,0,36.9688e-18,299.618e-3,270.344e-6,-466.779e-15,-9.1131e-18,97.6555e-18,38.3278e-18,38.3278e-18,
440e-3,0,0,2,14e-9,0,37.9849e-18,299.618e-3,304.613e-6,-578.119e-15,-9.7063e-18,100.874e-18,39.9372e-18,39.9372e-18,
460e-3,0,0,2,14e-9,0,38.9501e-18,299.618e-3,339.017e-6,-709.973e-15,-10.271e-18,103.934e-18,41.467e-18,41.467e-18,
480e-3,0,0,2,14e-9,0,39.8669e-18,299.618e-3,373.335e-6,-865.416e-15,-10.8071e-18,106.84e-18,42.9199e-18,42.9198e-18,
500e-3,0,0,2,14e-9,0,40.7374e-18,299.618e-3,407.389e-6,-1.0479e-12,-11.3148e-18,109.596e-18,44.2981e-18,44.2981e-18,
520e-3,0,0,2,14e-9,0,41.5634e-18,299.618e-3,441.039e-6,-1.2615e-12,-11.7944e-18,112.208e-18,45.6038e-18,45.6038e-18,
540e-3,0,0,2,14e-9,0,42.3465e-18,299.618e-3,474.176e-6,-1.5108e-12,-12.2464e-18,114.678e-18,46.8388e-18,46.8388e-18,
560e-3,0,0,2,14e-9,0,43.0882e-18,299.618e-3,506.717e-6,-1.8007e-12,-12.6712e-18,117.011e-18,48.0053e-18,48.0053e-18,
580e-3,0,0,2,14e-9,0,43.79e-18,299.618e-3,538.603e-6,-2.1373e-12,-13.0696e-18,119.211e-18,49.1055e-18,49.1055e-18,
600e-3,0,0,2,14e-9,0,44.4535e-18,299.618e-3,569.789e-6,-2.5271e-12,-13.4423e-18,121.284e-18,50.1418e-18,50.1418e-18,
620e-3,0,0,2,14e-9,0,45.0803e-18,299.618e-3,600.247e-6,-2.9776e-12,-13.7905e-18,123.233e-18,51.1167e-18,51.1167e-18,
640e-3,0,0,2,14e-9,0,45.6719e-18,299.618e-3,629.959e-6,-3.4973e-12,-14.1151e-18,125.066e-18,52.0329e-18,52.0329e-18,
660e-3,0,0,2,14e-9,0,46.2301e-18,299.618e-3,658.917e-6,-4.0958e-12,-14.4172e-18,126.786e-18,52.8932e-18,52.8932e-18,
680e-3,0,0,2,14e-9,0,46.7563e-18,299.618e-3,687.119e-6,-4.7840e-12,-14.698e-18,128.4e-18,53.7002e-18,53.7002e-18,
700e-3,0,0,2,14e-9,0,47.2524e-18,299.618e-3,714.571e-6,-5.5741e-12,-14.9585e-18,129.914e-18,54.4568e-18,54.4568e-18,
720e-3,0,0,2,14e-9,0,47.7198e-18,299.618e-3,741.28e-6,-6.4800e-12,-15.2001e-18,131.331e-18,55.1657e-18,55.1657e-18,
740e-3,0,0,2,14e-9,0,48.1601e-18,299.618e-3,767.258e-6,-7.5174e-12,-15.4237e-18,132.659e-18,55.8297e-18,55.8297e-18,
760e-3,0,0,2,14e-9,0,48.5749e-18,299.618e-3,792.521e-6,-8.7039e-12,-15.6305e-18,133.903e-18,56.4513e-18,56.4513e-18,
780e-3,0,0,2,14e-9,0,48.9656e-18,299.618e-3,817.083e-6,-10.0595e-12,-15.8217e-18,135.066e-18,57.0332e-18,57.0332e-18,
800e-3,0,0,2,14e-9,0,49.3336e-18,299.618e-3,840.963e-6,-11.6065e-12,-15.9982e-18,136.155e-18,57.5777e-18,57.5777e-18,
0,0,0,6,14e-9,0,41.3516e-18,301.345e-3,88.9992e-9,4.7263e-54,-9.2530e-21,122.497e-18,29.7483e-18,29.7483e-18,
20e-3,0,0,6,14e-9,0,42.177e-18,301.345e-3,163.534e-9,-1.0740e-15,-17.0876e-21,124.163e-18,30.5817e-18,30.5817e-18,
40e-3,0,0,6,14e-9,0,42.994e-18,301.345e-3,300.4e-9,-1.2009e-15,-31.5412e-21,125.826e-18,31.4131e-18,31.4131e-18,
60e-3,0,0,6,14e-9,0,43.8033e-18,301.345e-3,551.51e-9,-785.443e-18,-58.165e-21,127.498e-18,32.249e-18,32.249e-18,
80e-3,0,0,6,14e-9,0,44.6159e-18,301.345e-3,1.0115e-6,-2.0003e-15,-107.065e-21,129.221e-18,33.1104e-18,33.1104e-18,
100e-3,0,0,6,14e-9,0,45.4606e-18,301.345e-3,1.8518e-6,-4.9698e-15,-196.405e-21,131.089e-18,34.0445e-18,34.0445e-18,
120e-3,0,0,6,14e-9,0,46.3954e-18,301.345e-3,3.3789e-6,-9.4128e-15,-358.06e-21,133.282e-18,35.1409e-18,35.1409e-18,
140e-3,0,0,6,14e-9,0,47.5225e-18,301.345e-3,6.1295e-6,-15.6287e-15,-645.594e-21,136.111e-18,36.5556e-18,36.5556e-18,
160e-3,0,0,6,14e-9,0,49.0033e-18,301.345e-3,11.0067e-6,-24.1764e-15,-1.1421e-18,140.066e-18,38.533e-18,38.533e-18,
180e-3,0,0,6,14e-9,0,51.0536e-18,301.345e-3,19.4331e-6,-35.9865e-15,-1.9595e-18,145.801e-18,41.4006e-18,41.4006e-18,
