vsg,vsb,vsd,total_fins,length,gm,cdd,vth,gds,id,cds,cgg,cgd,cgs,
0,0,-0,2,14e-9,-0,37.3901e-18,-282.899e-3,20.684e-9,-3.4310e-51,-2.1565e-21,38.5277e-18,14.5489e-18,14.5489e-18,
20e-3,0,-0,2,14e-9,-0,37.676e-18,-282.899e-3,39.6492e-9,2.0269e-18,-4.3480e-21,39.1039e-18,14.8369e-18,14.8369e-18,
40e-3,0,-0,2,14e-9,-0,37.9788e-18,-282.899e-3,75.973e-9,3.2239e-18,-8.7473e-21,39.7182e-18,15.1441e-18,15.1441e-18,
60e-3,0,-0,2,14e-9,-0,38.3007e-18,-282.899e-3,145.462e-9,3.8164e-18,-17.5511e-21,40.3795e-18,15.4748e-18,15.4748e-18,
80e-3,0,-0,2,14e-9,-0,38.6474e-18,-282.899e-3,278.1e-9,4.0400e-18,-35.0837e-21,41.1081e-18,15.839e-18,15.839e-18,
100e-3,0,-0,2,14e-9,-0,39.0315e-18,-282.899e-3,530.207e-9,4.1935e-18,-69.7155e-21,41.9456e-18,16.2578e-18,16.2578e-18,
120e-3,0,-0,2,14e-9,-0,39.4786e-18,-282.899e-3,1.0056e-6,4.7403e-18,-137.142e-21,42.9747e-18,16.7724e-18,16.7724e-18,
140e-3,0,-0,2,14e-9,-0,40.0354e-18,-282.899e-3,1.8893e-6,6.4973e-18,-265.085e-21,44.3442e-18,17.4571e-18,17.4571e-18,
160e-3,0,-0,2,14e-9,-0,40.7764e-18,-282.899e-3,3.4908e-6,10.9949e-18,-497.278e-21,46.2906e-18,18.4303e-18,18.4303e-18,
180e-3,0,-0,2,14e-9,-0,41.7958e-18,-282.899e-3,6.2752e-6,21.6036e-18,-889.335e-21,49.1134e-18,19.8417e-18,19.8417e-18,
200e-3,0,-0,2,14e-9,-0,43.1664e-18,-282.899e-3,10.8279e-6,42.9982e-18,-1.4856e-18,53.0473e-18,21.8087e-18,21.8087e-18,
