vds_1,i_src,R0,C0,I0,R1,C1,I1,R2,C2,I2,R3,C3,I3,R4,C4,I4
0,9e-05,822.182,1.01773e-16,-1.96644e-06,826.055,4.17447e-17,-2.52762e-06,828.85,3.26731e-17,-2.95958e-06,826.687,3.21639e-17,-3.15248e-06,817.493,2.47754e-17,-4.10983e-06
0,9.1e-05,816.015,1.01773e-16,-2.00278e-06,819.872,4.17447e-17,-2.57468e-06,822.696,3.26731e-17,-3.01461e-06,820.567,3.21639e-17,-3.21096e-06,811.566,2.47754e-17,-4.18529e-06
0,9.2e-05,809.97,1.01773e-16,-2.03937e-06,813.811,4.17447e-17,-2.62205e-06,816.664,3.26731e-17,-3.07e-06,814.569,3.21639e-17,-3.26982e-06,805.755,2.47754e-17,-4.26124e-06
0,9.3e-05,804.043,1.01773e-16,-2.07619e-06,807.868,4.17447e-17,-2.66974e-06,810.75,3.26731e-17,-3.12575e-06,808.688,3.21639e-17,-3.32907e-06,800.058,2.47754e-17,-4.33766e-06
0,9.4e-05,798.231,1.01773e-16,-2.11325e-06,802.041,4.17447e-17,-2.71774e-06,804.95,3.26731e-17,-3.18187e-06,802.921,3.21639e-17,-3.38871e-06,794.471,2.47754e-17,-4.41456e-06
0,9.5e-05,792.529,1.01773e-16,-2.15055e-06,796.324,4.17447e-17,-2.76605e-06,799.262,3.26731e-17,-3.23835e-06,797.265,3.21639e-17,-3.44872e-06,788.991,2.47754e-17,-4.49192e-06
0,9.6e-05,786.936,1.01773e-16,-2.18807e-06,790.717,4.17447e-17,-2.81467e-06,793.681,3.26731e-17,-3.29518e-06,791.716,3.21639e-17,-3.50911e-06,783.614,2.47754e-17,-4.56976e-06
0,9.7e-05,781.447,1.01773e-16,-2.22583e-06,785.214,4.17447e-17,-2.8636e-06,788.205,3.26731e-17,-3.35238e-06,786.272,3.21639e-17,-3.56988e-06,778.338,2.47754e-17,-4.64806e-06
0,9.8e-05,776.06,1.01773e-16,-2.26382e-06,779.813,4.17447e-17,-2.91284e-06,782.83,3.26731e-17,-3.40992e-06,780.933,3.21639e-17,-3.63102e-06,773.159,2.47754e-17,-4.72682e-06
0,9.9e-05,770.772,1.01773e-16,-2.30204e-06,774.511,4.17447e-17,-2.96237e-06,777.554,3.26731e-17,-3.46782e-06,775.693,3.21639e-17,-3.69253e-06,768.075,2.47754e-17,-4.80605e-06
0,0.0001,765.579,1.01773e-16,-2.34049e-06,769.305,4.17447e-17,-3.01221e-06,772.374,3.26731e-17,-3.52607e-06,770.547,3.21639e-17,-3.75441e-06,763.084,2.47753e-17,-4.88572e-06
0,0.000101,760.48,1.01773e-16,-2.37916e-06,764.193,4.17447e-17,-3.06235e-06,767.291,3.26731e-17,-3.58467e-06,765.494,3.21639e-17,-3.81666e-06,758.181,2.47753e-17,-4.96586e-06
0,0.000102,755.471,1.01773e-16,-2.41806e-06,759.172,4.17447e-17,-3.11278e-06,762.299,3.26731e-17,-3.64362e-06,760.53,3.21639e-17,-3.87927e-06,753.366,2.47753e-17,-5.04644e-06
0,0.000103,750.551,1.01773e-16,-2.45719e-06,754.239,4.17446e-17,-3.16352e-06,757.395,3.26731e-17,-3.7029e-06,755.654,3.21639e-17,-3.94225e-06,748.636,2.47753e-17,-5.12746e-06
0,0.000104,745.716,1.01773e-16,-2.49653e-06,749.392,4.17446e-17,-3.21454e-06,752.576,3.26731e-17,-3.76253e-06,750.862,3.21639e-17,-4.00558e-06,743.988,2.47753e-17,-5.20894e-06
0,0.000105,740.965,1.01773e-16,-2.5361e-06,744.629,4.17446e-17,-3.26586e-06,747.839,3.26731e-17,-3.8225e-06,746.153,3.21639e-17,-4.06927e-06,739.42,2.47753e-17,-5.29085e-06
0,0.000106,736.294,1.01773e-16,-2.57588e-06,739.947,4.17446e-17,-3.31748e-06,743.184,3.26731e-17,-3.88281e-06,741.525,3.21639e-17,-4.13332e-06,734.93,2.47753e-17,-5.3732e-06
0,0.000107,731.703,1.01773e-16,-2.61589e-06,735.344,4.17446e-17,-3.36938e-06,738.607,3.26731e-17,-3.94345e-06,736.974,3.21639e-17,-4.19772e-06,730.517,2.47753e-17,-5.45599e-06
0,0.000108,727.188,1.01773e-16,-2.65611e-06,730.819,4.17446e-17,-3.42157e-06,734.107,3.26731e-17,-4.00443e-06,732.5,3.21639e-17,-4.26248e-06,726.177,2.47753e-17,-5.53921e-06
0,0.000109,722.749,1.01773e-16,-2.69655e-06,726.369,4.17446e-17,-3.47405e-06,729.682,3.26731e-17,-4.06574e-06,728.1,3.21639e-17,-4.32758e-06,721.909,2.47753e-17,-5.62287e-06
0.025,9e-05,1140.7,1.01773e-16,2.41294e-05,1133.72,4.17446e-17,2.35765e-05,1126.33,3.26729e-17,2.31757e-05,1120.85,3.21637e-17,2.30793e-05,1094.16,2.47753e-17,2.25788e-05
0.025,9.1e-05,1130.11,1.01773e-16,2.43117e-05,1123.18,4.17446e-17,2.3748e-05,1115.92,3.26729e-17,2.33381e-05,1110.5,3.21637e-17,2.32385e-05,1084.18,2.47753e-17,2.27215e-05
0.025,9.2e-05,1119.75,1.01773e-16,2.44929e-05,1112.88,4.17446e-17,2.39182e-05,1105.73,3.26729e-17,2.34991e-05,1100.38,3.21637e-17,2.33964e-05,1074.42,2.47753e-17,2.28627e-05
0.025,9.3e-05,1109.6,1.01773e-16,2.46729e-05,1102.79,4.17446e-17,2.40872e-05,1095.77,3.26729e-17,2.36587e-05,1090.47,3.21637e-17,2.35529e-05,1064.87,2.47753e-17,2.30024e-05
0.025,9.4e-05,1099.67,1.01773e-16,2.48518e-05,1092.92,4.17446e-17,2.4255e-05,1086.01,3.26729e-17,2.38171e-05,1080.77,3.21637e-17,2.3708e-05,1055.52,2.47753e-17,2.31406e-05
0.025,9.5e-05,1089.95,1.01773e-16,2.50295e-05,1083.26,4.17446e-17,2.44216e-05,1076.46,3.26729e-17,2.39742e-05,1071.28,3.21637e-17,2.38619e-05,1046.37,2.47753e-17,2.32774e-05
0.025,9.6e-05,1080.44,1.01773e-16,2.52061e-05,1073.8,4.17446e-17,2.45869e-05,1067.11,3.26729e-17,2.41301e-05,1061.99,3.21637e-17,2.40144e-05,1037.4,2.47753e-17,2.34126e-05
0.025,9.7e-05,1071.11,1.01773e-16,2.53816e-05,1064.53,4.17446e-17,2.47511e-05,1057.95,3.26729e-17,2.42846e-05,1052.89,3.21637e-17,2.41657e-05,1028.63,2.47753e-17,2.35465e-05
0.025,9.8e-05,1061.98,1.01773e-16,2.5556e-05,1055.45,4.17446e-17,2.49141e-05,1048.97,3.26729e-17,2.4438e-05,1043.98,3.21637e-17,2.43156e-05,1020.03,2.47753e-17,2.36789e-05
0.025,9.9e-05,1053.03,1.01773e-16,2.57294e-05,1046.55,4.17446e-17,2.50759e-05,1040.18,3.26729e-17,2.459e-05,1035.25,3.21637e-17,2.44643e-05,1011.6,2.47753e-17,2.38098e-05
0.025,0.0001,1044.25,1.01773e-16,2.59016e-05,1037.83,4.17446e-17,2.52366e-05,1031.56,3.26729e-17,2.47409e-05,1026.7,3.21637e-17,2.46118e-05,1003.35,2.47753e-17,2.39394e-05
0.025,0.000101,1035.65,1.01773e-16,2.60728e-05,1029.28,4.17446e-17,2.53961e-05,1023.12,3.26729e-17,2.48905e-05,1018.31,3.21637e-17,2.4758e-05,995.254,2.47753e-17,2.40676e-05
0.025,0.000102,1027.22,1.01773e-16,2.62429e-05,1020.9,4.17446e-17,2.55545e-05,1014.85,3.26729e-17,2.50389e-05,1010.09,3.21637e-17,2.49029e-05,987.319,2.47753e-17,2.41944e-05
0.025,0.000103,1018.95,1.01773e-16,2.64119e-05,1012.68,4.17446e-17,2.57117e-05,1006.73,3.26729e-17,2.51862e-05,1002.03,3.21637e-17,2.50466e-05,979.538,2.47753e-17,2.43198e-05
0.025,0.000104,1010.83,1.01773e-16,2.658e-05,1004.62,4.17446e-17,2.58678e-05,998.774,3.26729e-17,2.53322e-05,994.116,3.21637e-17,2.51892e-05,971.907,2.47753e-17,2.44439e-05
0.025,0.000105,1002.87,1.01773e-16,2.6747e-05,996.709,4.17445e-17,2.60228e-05,990.964,3.26729e-17,2.54771e-05,986.357,3.21637e-17,2.53305e-05,964.42,2.47753e-17,2.45666e-05
0.025,0.000106,995.06,1.01773e-16,2.69129e-05,988.947,4.17445e-17,2.61767e-05,983.302,3.26729e-17,2.56207e-05,978.743,3.21637e-17,2.54706e-05,957.075,2.47753e-17,2.4688e-05
