index,TE_0,TE_1,TE_3,Val
0,5.0,7.222,5.0,47209.9777712102
1,5.0,7.222,7.222,43869.30396345547
2,5.0,7.222,9.444,41651.309840780974
3,5.0,7.222,11.667,40112.4853919709
4,5.0,7.222,13.889,38858.177791700095
5,5.0,7.222,16.111,38125.37385003811
6,5.0,7.222,18.333,37213.88742906753
7,5.0,7.222,20.556,36714.29839851397
8,5.0,7.222,22.778,36349.511850432136
9,5.0,7.222,25.0,36045.723911026296
10,5.0,9.444,5.0,36360.07755974503
11,5.0,9.444,7.222,33053.01029362963
12,5.0,9.444,9.444,31033.558235916877
13,5.0,9.444,11.667,29543.527344050653
14,5.0,9.444,13.889,28447.80316108773
15,5.0,9.444,16.111,27559.953315125123
16,5.0,9.444,18.333,26718.716975498486
17,5.0,9.444,20.556,26076.999056030687
18,5.0,9.444,22.778,25640.48466754715
19,5.0,9.444,25.0,25168.333443552445
20,5.0,11.667,5.0,30380.69098438073
21,5.0,11.667,7.222,27055.053391564066
22,5.0,11.667,9.444,24933.152972407057
23,5.0,11.667,11.667,23414.4437368811
24,5.0,11.667,13.889,22261.776087443675
25,5.0,11.667,16.111,21277.838355000335
26,5.0,11.667,18.333,20569.87034679707
27,5.0,11.667,20.556,19905.90935154406
28,5.0,11.667,22.778,19351.583110189993
29,5.0,11.667,25.0,18878.720806685764
30,5.0,13.889,5.0,26194.152020249316
31,5.0,13.889,7.222,22837.99383747075
32,5.0,13.889,9.444,20719.91727449958
33,5.0,13.889,11.667,19157.30804063274
34,5.0,13.889,13.889,17919.26556761756
35,5.0,13.889,16.111,16961.09341238867
36,5.0,13.889,18.333,16147.299372224257
37,5.0,13.889,20.556,15456.586102441552
38,5.0,13.889,22.778,14944.111686197211
39,5.0,13.889,25.0,14453.101337166892
40,5.0,16.111,5.0,23142.622104020586
41,5.0,16.111,7.222,19704.616043264497
42,5.0,16.111,9.444,17539.425749338414
43,5.0,16.111,11.667,15918.633093361319
44,5.0,16.111,13.889,14684.918799868967
45,5.0,16.111,16.111,13651.396567470267
46,5.0,16.111,18.333,12869.796976052812
47,5.0,16.111,20.556,12157.314995151493
48,5.0,16.111,22.778,11557.688431905806
49,5.0,16.111,25.0,11088.582981102016
50,5.0,18.333,5.0,20670.502663852658
51,5.0,18.333,7.222,17259.92302648125
52,5.0,18.333,9.444,15001.714446601343
53,5.0,18.333,11.667,13398.382973715648
54,5.0,18.333,13.889,12100.802015537482
55,5.0,18.333,16.111,11074.378662493487
56,5.0,18.333,18.333,10258.430159339301
57,5.0,18.333,20.556,9522.46550588378
58,5.0,18.333,22.778,8901.762990342135
59,5.0,18.333,25.0,8371.047012815314
60,5.0,20.556,5.0,18650.776451858575
