it,Gain,UGF,BW,Pole_2,Power,CMRR,SR,vds_0,vds_1,vds_2,vds_sat_0,vds_sat_1,vds_sat_2,TEs_0,TEs_1,TEs_2,Fins_0,Fins_1,Fins_2,I_s,I_tail
1,22.672050504535335,9984617.52582119,734055.5186732727,435492556829.50165,3.3459264947783554e-05,31.331687993071927,6.970384248019946,0.21961961961961957,0.35095095095095086,0.6294294294294295,0.4,0.1111111111111111,0.4,5.0,18.0,5.0,1.3301232539206445,6.675306349431221,0.4727193965810284,3.691530228892763e-05,2.792565182589819e-05
2,22.313660120017076,10000413.13376471,766187.2766714812,373127489012.6793,3.3512241104127264e-05,36.20508362720329,6.981424352640195,0.2244244244244244,0.47187187187187174,0.5037037037037038,0.4,0.1111111111111111,0.22857142857142856,5.0,18.0,8.75,1.3134207621201053,6.501351841394806,1.1450220301077654,3.661721602755765e-05,2.792562527205045e-05
3,21.772722212490308,10001464.591217564,815506.6204954301,284200049725.4608,3.3515946918487625e-05,38.93628790671774,6.982164366440183,0.2268268268268268,0.5383383383383383,0.43483483483483487,0.4,0.1111111111111111,0.16,5.0,18.0,12.5,1.302698852006433,6.409235979546603,2.443839085160037,3.648257489227276e-05,2.7925652482961227e-05
4,21.208858922579324,10005212.113550916,870529.2219674976,202640567595.53372,3.352888663931501e-05,40.77812977458504,6.984784018321058,0.22842842842842837,0.5831831831831832,0.3883883883883884,0.4,0.1111111111111111,0.12307692307692308,5.0,18.0,16.25,1.2991241174806714,6.356329785175349,4.88999782498259,3.638246309755119e-05,2.7925732438689643e-05
5,22.94865946392383,10002553.583224203,712324.5515695988,436274816062.2025,3.0549389404048064e-05,32.80650294375779,6.3641305386461475,0.2356356356356356,0.33493493493493487,0.6294294294294295,0.4,0.10126582278481013,0.4,5.0,19.75,5.0,1.1606048052205404,8.363409318209845,0.4308341831326291,3.279633432361737e-05,2.5451304684923756e-05
6,22.66995752691326,9977584.013929266,733715.2013152349,372275588434.94495,3.0473138115273495e-05,37.67634398357495,6.348261264888147,0.23963963963963958,0.45665665665665656,0.5037037037037038,0.4,0.10126582278481013,0.22857142857142856,5.0,19.75,8.75,1.1486351148995064,8.002847479966084,1.0435667601744716,3.260337829168817e-05,2.545126078339058e-05
7,22.183445634428708,9985405.497800844,776592.915087155,283743508922.1801,3.049716939585743e-05,40.468682529032606,6.353244372452111,0.242042042042042,0.5231231231231231,0.43483483483483487,0.4,0.10126582278481013,0.16,5.0,19.75,12.5,1.1443641436993677,7.885865764950407,2.2273007273645495,3.248214911463727e-05,2.545127724043911e-05
8,21.661007369996575,9993948.976362491,825442.3735547761,202412142674.82874,3.052357452529451e-05,42.327510327464665,6.358684082555554,0.2436436436436436,0.567967967967968,0.3883883883883884,0.4,0.10126582278481013,0.12307692307692308,5.0,19.75,16.25,1.1370084146710462,7.816795187441095,4.456713903896039,3.241731613117797e-05,2.5451340571185603e-05
9,21.135225766857005,9981982.682774585,875902.0116137945,136861767724.90677,3.0487656404009107e-05,43.664780471447386,6.3510745201969625,0.2444444444444444,0.6032032032032031,0.35235235235235235,0.4,0.10126582278481013,0.1,5.0,19.75,20.0,1.1356359526101958,7.70439612654977,8.800637929779652,3.2378185781806274e-05,2.5451476649362477e-05
10,23.209769773403263,10010549.907286346,691782.3008603314,436623548056.34784,2.8085352866376875e-05,34.09233826361267,5.850751978910536,0.25005005005005,0.3205205205205205,0.6294294294294295,0.4,0.09302325581395349,0.4,5.0,21.5,5.0,1.0304588189161832,10.508359217159954,0.3957678336922561,2.9510069348254905e-05,2.337977837912876e-05
11,22.95350040298427,10023613.918205176,713426.6204258485,373992919161.00665,2.8121996121962514e-05,39.02492111467022,5.85840433620296,0.2548548548548548,0.4414414414414414,0.5037037037037038,0.4,0.09302325581395349,0.22857142857142856,5.0,21.5,8.75,1.0193718705668726,10.216195595651785,0.9586285971607482,2.932188322190785e-05,2.337972744232959e-05
12,22.544582093956308,10000509.026564617,746093.0620434829,284172513716.8286,2.805727674771462e-05,41.8274291980198,5.844911613452647,0.2564564564564564,0.5087087087087087,0.43483483483483487,0.4,0.09302325581395349,0.16,5.0,21.5,12.5,1.0171234398999087,9.879747978458552,2.0460145082425023,2.9257207882757467e-05,2.3379726791027776e-05
13,22.059491248122526,10012735.912972666,789911.0684925682,202792385982.6239,2.809183890925344e-05,43.73377982837234,5.852062120102651,0.25805805805805804,0.5535535535535535,0.3883883883883884,0.4,0.09302325581395349,0.12307692307692308,5.0,21.5,16.25,1.0149146117024108,9.795975923164194,4.093968068850867,2.9193671695096848e-05,2.337977663695081e-05
14,21.569529445403766,9992550.655897427,834064.9789804182,137006313450.13496,2.803573373890868e-05,45.103331656845555,5.840269346742772,0.25885885885885884,0.5887887887887888,0.35235235235235235,0.4,0.09302325581395349,0.1,5.0,21.5,20.0,1.013827947257521,9.643936324317472,8.084322012994965,2.9162414163989247e-05,2.3379888433249082e-05
15,23.448985623942498,10013708.164616188,673202.3900217379,436761266705.817,2.5979731488593726e-05,35.25680563475029,5.412029504134322,0.2636636636636636,0.3069069069069069,0.6294294294294295,0.4,0.08602150537634409,0.4,5.0,23.25,5.0,0.9278984789781877,13.397323676629897,0.3659808021490738,2.6808516576401102e-05,2.162012502490179e-05
16,23.25994341483682,9985469.929620381,686074.5942275794,372569638956.3108,2.590642414070886e-05,40.183268014890885,5.396791884125544,0.26766766766766764,0.4286286286286285,0.5037037037037038,0.4,0.08602150537634409,0.22857142857142856,5.0,23.25,8.75,0.9195229711162327,12.758695303166899,0.8864773155786279,2.6683424329692835e-05,2.1620049812222462e-05
17,22.872593837975575,10008024.769165175,718983.0957089798,284385931667.57367,2.5965024778963233e-05,43.054223731190945,5.40899084935275,0.27007007007007006,0.4950950950950951,0.43483483483483487,0.4,0.08602150537634409,0.16,5.0,23.25,12.5,0.9168131113426972,12.56313009553077,1.8920207496988652,2.6604787535961152e-05,2.1620046208231536e-05
18,22.446284013539728,9976993.307142597,752810.1746719922,202068258536.55066,2.5884720847434893e-05,44.95981184248738,5.392228476637038,0.27087087087087086,0.5407407407407406,0.3883883883883884,0.4,0.08602150537634409,0.12307692307692308,5.0,23.25,16.25,0.9159244553827979,12.209229602818127,3.785831790543156,2.657899983428762e-05,2.1620076209536945e-05
19,21.96604535797583,10011144.802917583,798328.2087312374,137260956971.80457,2.597377981952518e-05,46.38858627990202,5.410687752200216,0.2724724724724724,0.5751751751751752,0.35235235235235235,0.4,0.08602150537634409,0.1,5.0,23.25,20.0,0.9141678085238241,12.25257127873618,7.475846748569113,2.652802410555893e-05,2.162017577289231e-05
20,23.669181243037862,10014418.472099176,656397.1294554521,436792218478.76385,2.41630507484038e-05,36.346672817138725,5.033478201724707,0.27727727727727725,0.29329329329329323,0.6294294294294295,0.4,0.08,0.4,5.0,25.0,5.0,0.8420098011694916,17.6069662331308,0.3403647976657167,2.454123498567353e-05,2.0106872919008436e-05
21,23.185563316495124,9983743.116463698,691855.2362037802,283695822791.2751,2.4089001816730996e-05,44.16210779112678,5.0181048502293,0.2828828828828828,0.4822822822822822,0.43483483483483487,0.4,0.08,0.16,5.0,25.0,12.5,0.8333106472982045,16.13324224965991,1.7595885415869654,2.4393841208273542e-05,2.0106748608671323e-05
22,22.774897351106432,10016320.792604038,727718.4028438187,202864586278.4552,2.4167784408736232e-05,46.1303546650541,5.034485188474063,0.28448448448448443,0.5271271271271271,0.3883883883883884,0.4,0.08,0.12307692307692308,5.0,25.0,16.25,0.8318281170443864,15.99349315552243,3.5208419104157676,2.4350442497702216e-05,2.0106775640446355e-05
23,22.341673531092322,9986193.008193245,762634.203428119,136918592161.7801,2.4095468161276922e-05,47.550408173804016,5.019348735877583,0.28528528528528524,0.5623623623623624,0.35235235235235235,0.4,0.08,0.1,5.0,25.0,20.0,0.8310959943393506,15.722000207094364,6.95256730164712,2.4329010772247227e-05,2.01068497241794e-05
24,22.672050504535335,9984617.52582119,734055.5186732727,435492556829.50165,3.3459264947783554e-05,34.29210983223093,6.970384248019946,0.21961961961961957,0.35095095095095086,0.6294294294294295,0.22857142857142856,0.1111111111111111,0.4,8.75,18.0,5.0,2.7325891876868456,6.675306349431221,0.4727193965810284,3.4580186152463105e-05,2.792565182589819e-05
25,22.313660120017076,10000413.13376471,766187.2766714812,373127489012.6793,3.3512241104127264e-05,39.1140386745753,6.981424352640195,0.2244244244244244,0.47187187187187174,0.5037037037037038,0.22857142857142856,0.1111111111111111,0.22857142857142856,8.75,18.0,8.75,2.696890469396653,6.501351841394806,1.1450220301077654,3.438245820914862e-05,2.792562527205045e-05
26,21.772722212490308,10001464.591217564,815506.6204954301,284200049725.4608,3.3515946918487625e-05,41.83800297830341,6.982164366440183,0.2268268268268268,0.5383383383383383,0.43483483483483487,0.22857142857142856,0.1111111111111111,0.16,8.75,18.0,12.5,2.688829147097043,6.409235979546603,2.443839085160037,3.427968500414753e-05,2.7925652482961227e-05
27,21.208858922579324,10005212.113550916,870529.2219674976,202640567595.53372,3.352888663931501e-05,43.66237687476453,6.984784018321058,0.22842842842842837,0.5831831831831832,0.3883883883883884,0.22857142857142856,0.1111111111111111,0.12307692307692308,8.75,18.0,16.25,2.6835519488247286,6.356329785175349,4.88999782498259,3.421240639156826e-05,2.7925732438689643e-05
28,22.94865946392383,10002553.583224203,712324.5515695988,436274816062.2025,3.0549389404048064e-05,35.61781728768207,6.3641305386461475,0.2356356356356356,0.33493493493493487,0.6294294294294295,0.22857142857142856,0.10126582278481013,0.4,8.75,19.75,5.0,2.4079212701235257,8.363409318209845,0.4308341831326291,3.092595310544268e-05,2.5451304684923756e-05
29,22.66995752691326,9977584.013929266,733715.2013152349,372275588434.94495,3.0473138115273495e-05,40.45157804026963,6.348261264888147,0.23963963963963958,0.45665665665665656,0.5037037037037038,0.22857142857142856,0.10126582278481013,0.22857142857142856,8.75,19.75,8.75,2.3968849624351045,8.002847479966084,1.0435667601744716,3.078420912973045e-05,2.545126078339058e-05
30,22.183445634428708,9985405.497800844,776592.915087155,283743508922.1801,3.049716939585743e-05,43.209954027499705,6.353244372452111,0.242042042042042,0.5231231231231231,0.43483483483483487,0.22857142857142856,0.10126582278481013,0.16,8.75,19.75,12.5,2.3904348657660037,7.885865764950407,2.2273007273645495,3.070136780531125e-05,2.545127724043911e-05
31,21.661007369996575,9993948.976362491,825442.3735547761,202412142674.82874,3.052357452529451e-05,45.06256506404105,6.358684082555554,0.2436436436436436,0.567967967967968,0.3883883883883884,0.22857142857142856,0.10126582278481013,0.12307692307692308,8.75,19.75,16.25,2.3862066194043847,7.816795187441095,4.456713903896039,3.064706264578625e-05,2.5451340571185603e-05
32,21.135225766857005,9981982.682774585,875902.0116137945,136861767724.90677,3.0487656404009107e-05,46.36931440869447,6.3510745201969625,0.2444444444444444,0.6032032032032031,0.35235235235235235,0.22857142857142856,0.10126582278481013,0.1,8.75,19.75,20.0,2.367475453242115,7.70439612654977,8.800637929779652,3.0630907208854246e-05,2.5451476649362477e-05
33,23.209769773403263,10010549.907286346,691782.3008603314,436623548056.34784,2.8085352866376875e-05,36.727512130986185,5.850751978910536,0.25005005005005,0.3205205205205205,0.6294294294294295,0.22857142857142856,0.09302325581395349,0.4,8.75,21.5,5.0,2.161668765206804,10.508359217159954,0.3957678336922561,2.7968135962149993e-05,2.337977837912876e-05
34,22.95350040298427,10023613.918205176,713426.6204258485,373992919161.00665,2.8121996121962514e-05,41.59743437035815,5.85840433620296,0.2548548548548548,0.4414414414414414,0.5037037037037038,0.22857142857142856,0.09302325581395349,0.22857142857142856,8.75,21.5,8.75,2.1508492111582895,10.216195595651785,0.9586285971607482,2.7828150242066863e-05,2.337972744232959e-05
35,22.544582093956308,10000509.026564617,746093.0620434829,284172513716.8286,2.805727674771462e-05,44.37242594690357,5.844911613452647,0.2564564564564564,0.5087087087087087,0.43483483483483487,0.22857142857142856,0.09302325581395349,0.16,8.75,21.5,12.5,2.147322340227515,9.879747978458552,2.0460145082425023,2.778251882651397e-05,2.3379726791027776e-05
