Vd0,Vd1,Id0,Id1,Rout,Cout
0.0,0.0,0.0,0.0,-63411540.90044388,2.8122678444337903e-16
0.0,0.04211,5.728e-14,-3.553e-10,-260010400.4160166,2.6785776922365993e-16
0.0,0.08421,1.524e-13,-4.467e-10,-840336134.4537815,2.557619935486758e-16
0.0,0.1263,2.934e-13,-4.85e-10,-1288493750.8053083,2.4493945741842704e-16
0.0,0.1684,4.898e-13,-5.174e-10,-1272426517.3686218,2.352310058898213e-16
0.0,0.2105,7.526e-13,-5.517e-10,-1185958254.2694497,2.2679579390595082e-16
0.0,0.2526,1.095e-12,-5.883e-10,-1123974373.3842869,2.1931551158063175e-16
0.0,0.2947,1.531e-12,-6.265e-10,-1084245906.9717014,2.1279015891386403e-16
0.0,0.3368,2.08e-12,-6.658e-10,-1058425063.5055037,2.0690142601946394e-16
0.0,0.3789,2.761e-12,-7.059e-10,-1040691018.8365073,2.016493128974314e-16
0.0,0.4211,3.599e-12,-7.467e-10,-1027749229.1880779,1.9687466460467457e-16
0.0,0.4632,4.621e-12,-7.878e-10,-1017915309.446254,1.9273663608428526e-16
0.0,0.5053,5.858e-12,-8.294e-10,-1009896990.5069685,1.8891691745007973e-16
0.0,0.5474,7.349e-12,-8.712e-10,-1003109639.8836393,1.8525635375896619e-16
0.0,0.5895,9.137e-12,-9.133e-10,-997008973.0807577,1.8207325489712825e-16
0.0,0.6316,1.127e-11,-9.557e-10,-989119683.4817014,1.7904931097838227e-16
0.0,0.6737,1.381e-11,-9.986e-10,-971817298.3479105,1.7634367694582004e-16
0.0,0.7158,1.682e-11,-1.043e-09,-928505106.7780874,1.737971978563497e-16
0.0,0.7579,2.038e-11,-1.09e-09,-824402308.3264635,1.7140987370997126e-16
0.0,0.8,2.458e-11,-1.148e-09,-638569604.0868454,1.6918170450668476e-16
0.04211,0.0,0.0,0.0,-15441630.636195183,2.944366447200063e-16
0.04211,0.04211,-1.459e-09,-1.459e-09,-63331222.29259024,2.802718547848277e-16
0.04211,0.08421,-1.459e-09,-1.834e-09,-205002050.02050018,2.6706199450820043e-16
0.04211,0.1263,-1.459e-09,-1.991e-09,-315159155.37346363,2.5496621883321627e-16
0.04211,0.1684,-1.459e-09,-2.123e-09,-311623558.7410408,2.4414368270296744e-16
0.04211,0.2105,-1.459e-09,-2.263e-09,-290782204.1291073,2.3459438611745375e-16
0.04211,0.2526,-1.458e-09,-2.412e-09,-276014352.74634284,2.261591741335833e-16
0.04211,0.2947,-1.458e-09,-2.567e-09,-266737796.74579883,2.186788918082642e-16
0.04211,0.3368,-1.458e-09,-2.727e-09,-260960334.02922755,2.121535391414965e-16
0.04211,0.3789,-1.457e-09,-2.89e-09,-257267815.79624382,2.064239611901883e-16
0.04211,0.4211,-1.456e-09,-3.054e-09,-254906958.95997962,2.011718480681557e-16
0.04211,0.4632,-1.455e-09,-3.22e-09,-253356979.98479864,1.963971997753988e-16
0.04211,0.5053,-1.454e-09,-3.386e-09,-252525252.52525246,1.922591712550096e-16
0.04211,0.5474,-1.453e-09,-3.553e-09,-252079657.1716662,1.884394526208041e-16
0.04211,0.5895,-1.452e-09,-3.72e-09,-252079657.1716662,1.849380438727824e-16
0.04211,0.6316,-1.45e-09,-3.887e-09,-252397778.8995457,1.8175494501094443e-16
0.04211,0.6737,-1.448e-09,-4.054e-09,-252908447.14213455,1.7873100109219842e-16
0.04211,0.7158,-1.445e-09,-4.22e-09,-253036437.24696362,1.760253670596362e-16
0.04211,0.7579,-1.442e-09,-4.387e-09,-251382604.32378083,1.7347888797016585e-16
0.04211,0.8,-1.439e-09,-4.556e-09,-244200244.20024425,1.7109156382378749e-16
0.08421,0.0,0.0,0.0,-3760812.3354644594,3.079648148828175e-16
0.08421,0.04211,-7.529e-09,-5.991e-09,-15427337.241592102,2.936408700045469e-16
0.08421,0.08421,-7.529e-09,-7.529e-09,-49950049.95004996,2.794760800693681e-16
0.08421,0.1263,-7.529e-09,-8.173e-09,-76804915.51459293,2.662662197927409e-16
0.08421,0.1684,-7.529e-09,-8.717e-09,-75987841.94528873,2.543295990608488e-16
0.08421,0.2105,-7.529e-09,-9.291e-09,-70921985.81560282,2.4350706293059995e-16
0.08421,0.2526,-7.529e-09,-9.901e-09,-67340067.34006733,2.339577663450862e-16
0.08421,0.2947,-7.529e-09,-1.054e-08,-65104166.666666664,2.255225543612157e-16
0.08421,0.3368,-7.528e-09,-1.119e-08,-63734862.97004463,2.1820142697898847e-16
0.08421,0.3789,-7.528e-09,-1.186e-08,-62853551.225644246,2.1167607431222078e-16
0.08421,0.4211,-7.527e-09,-1.253e-08,-62305295.950155765,2.0578734141782064e-16
0.08421,0.4632,-7.527e-09,-1.321e-08,-61996280.22318662,2.0069438323888e-16
0.08421,0.5053,-7.526e-09,-1.389e-08,-61842918.98577615,1.9607888988921501e-16
0.08421,0.5474,-7.525e-09,-1.457e-08,-61804697.15698392,1.917817064257339e-16
0.08421,0.5895,-7.523e-09,-1.525e-08,-61881188.118811876,1.8796198779152842e-16
0.08421,0.6316,-7.522e-09,-1.593e-08,-62073246.43078832,1.8446057904350673e-16
0.08421,0.6737,-7.52e-09,-1.661e-08,-62344139.650872804,1.8127748018166882e-16
0.08421,0.7158,-7.518e-09,-1.728e-08,-62695924.76489028,1.7841269120601465e-16
0.08421,0.7579,-7.516e-09,-1.795e-08,-63131313.13131313,1.7570705717345245e-16
0.08421,0.8,-7.513e-09,-1.862e-08,-63451776.64974619,1.7316057808398215e-16
0.1263,0.0,0.0,0.0,-916590.2841429882,3.2117467515944476e-16
0.1263,0.04211,-3.355e-08,-2.459e-08,-3757985.719654266,3.0700988522426606e-16
0.1263,0.08421,-3.355e-08,-3.09e-08,-12163970.31991242,2.926859403459955e-16
0.1263,0.1263,-3.355e-08,-3.355e-08,-18716077.11023769,2.7868030535390876e-16
0.1263,0.1684,-3.355e-08,-3.578e-08,-18518518.51851852,2.656296000203734e-16
0.1263,0.2105,-3.355e-08,-3.813e-08,-17289073.305670813,2.5353382434538927e-16
0.1263,0.2526,-3.355e-08,-4.063e-08,-16417665.40797899,2.4287044315823225e-16
0.1263,0.2947,-3.354e-08,-4.325e-08,-15875535.799333232,2.333211465727185e-16
0.1263,0.3368,-3.354e-08,-4.593e-08,-15540015.54001554,2.2504508953194e-16
0.1263,0.3789,-3.354e-08,-4.866e-08,-15330369.46190403,2.1772396214971286e-16
0.1263,0.4211,-3.354e-08,-5.142e-08,-15199878.400972793,2.111986094829451e-16
0.1263,0.4632,-3.354e-08,-5.42e-08,-15124016.938898971,2.0530987658854496e-16
0.1263,0.5053,-3.354e-08,-5.698e-08,-15089784.21608571,2.0021691840960434e-16
0.1263,0.5474,-3.354e-08,-5.977e-08,-15085231.55830442,1.9560142505993938e-16
0.1263,0.5895,-3.354e-08,-6.256e-08,-15110305.22816561,1.9130424159645817e-16
0.1263,0.6316,-3.354e-08,-6.535e-08,-15160703.456640389,1.876436779053446e-16
0.1263,0.6737,-3.354e-08,-6.812e-08,-15232292.46001523,1.8414226915732296e-16
0.1263,0.7158,-3.354e-08,-7.087e-08,-15330369.461904032,1.80959170295485e-16
0.1263,0.7579,-3.353e-08,-7.361e-08,-15451174.289245985,1.7793522637673895e-16
0.1263,0.8,-3.353e-08,-7.632e-08,-15593326.056447841,1.7522959234417674e-16
0.1684,0.0,0.0,0.0,-224114.7467503362,3.342253804929802e-16
0.1684,0.04211,-1.466e-07,-1.007e-07,-915750.9157509158,3.202197455008934e-16
0.1684,0.08421,-1.466e-07,-1.266e-07,-2965599.051008304,3.062141105088066e-16
0.1684,0.1263,-1.466e-07,-1.375e-07,-4568296.025582456,2.920493205736281e-16
0.1684,0.1684,-1.466e-07,-1.466e-07,-4524886.877828053,2.7804368558154126e-16
0.1684,0.2105,-1.466e-07,-1.562e-07,-4224757.076468104,2.648338253049139e-16
0.1684,0.2526,-1.466e-07,-1.665e-07,-4012841.0914927763,2.5289720457302173e-16
0.1684,0.2947,-1.466e-07,-1.772e-07,-3880481.179666279,2.4223382338586466e-16
0.1684,0.3368,-1.466e-07,-1.881e-07,-3799392.0972644375,2.328436817434429e-16
0.1684,0.3789,-1.466e-07,-1.993e-07,-3748125.937031484,2.2440846975957246e-16
0.1684,0.4211,-1.466e-07,-2.106e-07,-3717472.1189591084,2.170873423773452e-16
0.1684,0.4632,-1.466e-07,-2.219e-07,-3699593.0447650766,2.107211446536694e-16
0.1684,0.5053,-1.466e-07,-2.333e-07,-3690036.900369004,2.048324117592693e-16
0.1684,0.5474,-1.466e-07,-2.448e-07,-3690036.9003690043,1.997394535803286e-16
0.1684,0.5895,-1.466e-07,-2.562e-07,-3696857.670979668,1.9512396023066365e-16
0.1684,0.6316,-1.466e-07,-2.675e-07,-3709198.81305638,1.9098593171027442e-16
0.1684,0.6737,-1.466e-07,-2.789e-07,-3727171.0771524413,1.8716621307606894e-16
0.1684,0.7158,-1.466e-07,-2.901e-07,-3750937.734433608,1.8366480432804723e-16
0.1684,0.7579,-1.466e-07,-3.013e-07,-3782148.2602118,1.804817054662093e-16
0.1684,0.8,-1.466e-07,-3.124e-07,-3818251.240931654,1.776169164905552e-16
0.2105,0.0,0.0,0.0,-55463.11702717694,3.49663409972894e-16
0.2105,0.04211,-6.358e-07,-4.094e-07,-224014.33691756264,3.3327045083442897e-16
0.2105,0.08421,-6.358e-07,-5.155e-07,-725163.1617113851,3.19423970785434e-16
0.2105,0.1263,-6.358e-07,-5.597e-07,-1123216.8931820737,3.0557749073643896e-16
0.2105,0.1684,-6.358e-07,-5.967e-07,-1115946.880928468,2.9125354585816845e-16
0.2105,0.2105,-6.358e-07,-6.358e-07,-1043841.3361169103,2.7740706580917357e-16
0.2105,0.2526,-6.358e-07,-6.772e-07,-992063.4920634922,2.6435636047563815e-16
0.2105,0.2947,-6.358e-07,-7.204e-07,-959692.8982725529,2.52419739743746e-16
0.2105,0.3368,-6.358e-07,-7.648e-07,-939849.6240601504,2.4175635855658903e-16
0.2105,0.3789,-6.358e-07,-8.099e-07,-927643.784786642,2.3236621691416715e-16
0.2105,0.4211,-6.358e-07,-8.555e-07,-919963.2014719411,2.239310049302968e-16
0.2105,0.4632,-6.358e-07,-9.013e-07,-915750.9157509158,2.1660987754806957e-16
0.2105,0.5053,-6.358e-07,-9.474e-07,-914076.7824497259,2.102436798243937e-16
0.2105,0.5474,-6.358e-07,-9.934e-07,-914076.7824497257,2.0451410187308553e-16
0.2105,0.5895,-6.358e-07,-1.039e-06,-915750.9157509158,1.9926198875105298e-16
0.2105,0.6316,-6.358e-07,-1.085e-06,-919117.6470588234,1.948056503444799e-16
0.2105,0.6737,-6.358e-07,-1.131e-06,-923361.0341643584,1.905084668809987e-16
0.2105,0.7158,-6.358e-07,-1.177e-06,-929368.0297397771,1.8684790318988512e-16
0.2105,0.7579,-6.358e-07,-1.222e-06,-937207.1227741333,1.8334649444186336e-16
0.2105,0.8,-6.358e-07,-1.266e-06,-946073.7937559128,1.8016339558002554e-16
0.2526,0.0,0.0,0.0,-14361.625736033322,3.775155250139757e-16
0.2526,0.04211,-2.682e-06,-1.616e-06,-55493.895671476144,3.4870848031434256e-16
0.2526,0.08421,-2.682e-06,-2.046e-06,-179372.19730941704,3.3263383106206123e-16
0.2526,0.1263,-2.682e-06,-2.223e-06,-283607.48723766307,3.1894650595615826e-16
0.2526,0.1684,-2.682e-06,-2.369e-06,-285388.12785388133,3.051000259071633e-16
0.2526,0.2105,-2.682e-06,-2.521e-06,-268384.3263553409,2.907760810288927e-16
0.2526,0.2526,-2.682e-06,-2.682e-06,-255819.90278843694,2.7692960097989784e-16
0.2526,0.2947,-2.682e-06,-2.849e-06,-248015.87301587302,2.6387889564636246e-16
0.2526,0.3368,-2.682e-06,-3.021e-06,-243190.66147859924,2.5194227491447026e-16
0.2526,0.3789,-2.682e-06,-3.195e-06,-240269.10139356076,2.4127889372731335e-16
0.2526,0.4211,-2.682e-06,-3.371e-06,-238492.7259718579,2.3188875208489147e-16
0.2526,0.4632,-2.682e-06,-3.548e-06,-237529.69121140143,2.236126950441129e-16
