"TE_stack1 (fins=4,vds=0.1) X","TE_stack1 (fins=4,vds=0.1) Y","TE_stack1 (fins=4,vds=0.2) X","TE_stack1 (fins=4,vds=0.2) Y","TE_stack1 (fins=4,vds=0.3) X","TE_stack1 (fins=4,vds=0.3) Y","TE_stack1 (fins=4,vds=0.4) X","TE_stack1 (fins=4,vds=0.4) Y","TE_stack1 (fins=4,vds=0.5) X","TE_stack1 (fins=4,vds=0.5) Y","TE_stack1 (fins=4,vds=0.6) X","TE_stack1 (fins=4,vds=0.6) Y","TE_stack1 (fins=4,vds=0.7) X","TE_stack1 (fins=4,vds=0.7) Y","TE_stack1 (fins=10,vds=0.1) X","TE_stack1 (fins=10,vds=0.1) Y","TE_stack1 (fins=10,vds=0.2) X","TE_stack1 (fins=10,vds=0.2) Y","TE_stack1 (fins=10,vds=0.3) X","TE_stack1 (fins=10,vds=0.3) Y","TE_stack1 (fins=10,vds=0.4) X","TE_stack1 (fins=10,vds=0.4) Y","TE_stack1 (fins=10,vds=0.5) X","TE_stack1 (fins=10,vds=0.5) Y","TE_stack1 (fins=10,vds=0.6) X","TE_stack1 (fins=10,vds=0.6) Y","TE_stack1 (fins=10,vds=0.7) X","TE_stack1 (fins=10,vds=0.7) Y","TE_stack1 (fins=20,vds=0.1) X","TE_stack1 (fins=20,vds=0.1) Y","TE_stack1 (fins=20,vds=0.2) X","TE_stack1 (fins=20,vds=0.2) Y","TE_stack1 (fins=20,vds=0.3) X","TE_stack1 (fins=20,vds=0.3) Y","TE_stack1 (fins=20,vds=0.4) X","TE_stack1 (fins=20,vds=0.4) Y","TE_stack1 (fins=20,vds=0.5) X","TE_stack1 (fins=20,vds=0.5) Y","TE_stack1 (fins=20,vds=0.6) X","TE_stack1 (fins=20,vds=0.6) Y","TE_stack1 (fins=20,vds=0.7) X","TE_stack1 (fins=20,vds=0.7) Y","TE_stack1 (fins=30,vds=0.1) X","TE_stack1 (fins=30,vds=0.1) Y","TE_stack1 (fins=30,vds=0.2) X","TE_stack1 (fins=30,vds=0.2) Y","TE_stack1 (fins=30,vds=0.3) X","TE_stack1 (fins=30,vds=0.3) Y","TE_stack1 (fins=30,vds=0.4) X","TE_stack1 (fins=30,vds=0.4) Y","TE_stack1 (fins=30,vds=0.5) X","TE_stack1 (fins=30,vds=0.5) Y","TE_stack1 (fins=30,vds=0.6) X","TE_stack1 (fins=30,vds=0.6) Y","TE_stack1 (fins=30,vds=0.7) X","TE_stack1 (fins=30,vds=0.7) Y","TE_stack1 (fins=40,vds=0.1) X","TE_stack1 (fins=40,vds=0.1) Y","TE_stack1 (fins=40,vds=0.2) X","TE_stack1 (fins=40,vds=0.2) Y","TE_stack1 (fins=40,vds=0.3) X","TE_stack1 (fins=40,vds=0.3) Y","TE_stack1 (fins=40,vds=0.4) X","TE_stack1 (fins=40,vds=0.4) Y","TE_stack1 (fins=40,vds=0.5) X","TE_stack1 (fins=40,vds=0.5) Y","TE_stack1 (fins=40,vds=0.6) X","TE_stack1 (fins=40,vds=0.6) Y","TE_stack1 (fins=40,vds=0.7) X","TE_stack1 (fins=40,vds=0.7) Y"
0,38.09955425861489,0,38.01746347187832,0,37.93460014604538,0,37.84268233518929,0,37.73140501611152,0,37.58873049360595,0,37.34912286206337,0,38.14191765648325,0,38.09074400657517,0,38.03081105498119,0,37.95708498184686,0,37.86235256067191,0,37.73702538640886,0,37.52063380914151,0,38.15598185396919,0,38.11483537382387,0,38.06208837000207,0,37.99385464970824,0,37.90398042556328,0,37.78369672892416,0,37.57417982672861,0,38.16066355501165,0,38.12282874636587,0,38.07242687960469,0,38.00596193457499,0,37.91763663242073,0,37.79895549525389,0,37.59163877578597,0,38.16300323848393,0,38.12681848297951,0,38.07757989101373,0,38.01198779608736,0,37.9244238919159,0,37.8065294894633,0,37.60029602822101
0.008,29.19961555980347,0.008,29.15137331163649,0.008,29.10262776602003,0.008,29.04849775295347,0.008,28.98288518154797,0.008,28.89862844390388,0.008,28.75679446524966,0.008,29.22449224300225,0.008,29.19444037014104,0.008,29.15922058603659,0.008,29.11585969557201,0.008,29.06008660485767,0.008,28.98620127841579,0.008,28.85836165056157,0.008,29.23274818090967,0.008,29.20859044371479,0.008,29.17760402684457,0.008,29.13749013065648,0.008,29.08460272620762,0.008,29.01372917571986,0.008,28.89002720694572,0.008,29.23549610821583,0.008,29.21328443062509,0.008,29.1836790008906,0.008,29.1446103286005,0.008,29.09264262006478,0.008,29.02272574497249,0.008,28.90034741240975,0.008,29.2368693277726,0.008,29.2156271708916,0.008,29.18670665555416,0.008,29.14815369563248,0.008,29.09663801932098,0.008,29.02719074598764,0.008,28.90546400181144
0.016,29.21288149256312,0.016,29.17657395607684,0.016,29.14000161204595,0.016,29.09948397228332,0.016,29.05041757529373,0.016,28.9875268070066,0.016,28.88617916356008,0.016,29.23194442011117,0.016,29.20958251278435,0.016,29.18337807009267,0.016,29.15110757298669,0.016,29.10956506027305,0.016,29.0545878759794,0.016,28.9636527174648,0.016,29.23826920563123,0.016,29.22042277442664,0.016,29.19745961388421,0.016,29.16767164331953,0.016,29.12833085222185,0.016,29.07564506329066,0.016,28.98777178924734,0.016,29.24037419452048,0.016,29.22401823678414,0.016,29.20211206712644,0.016,29.17312277693018,0.016,29.13448317077509,0.016,29.08252451377061,0.016,28.99562885634332,0.016,29.24142607074882,0.016,29.22581258381761,0.016,29.20443055005977,0.016,29.1758352885824,0.016,29.13754017795247,0.016,29.08593831495245,0.016,28.99952356811036
0.024,29.22271379807014,0.024,29.19538721271349,0.024,29.167947101409,0.024,29.13762717687907,0.024,29.10095829842093,0.024,29.05403845211108,0.024,28.98124391799102,0.024,29.23731884982869,0.024,29.22067738150199,0.024,29.20117578475801,0.024,29.1771600791928,0.024,29.14622902850488,0.024,29.10532670857403,0.024,29.04027406660041,0.024,29.24216360420075,0.024,29.22897984961419,0.024,29.21195774211842,0.024,29.18983707864676,0.024,29.16058164585772,0.024,29.1214170093401,0.024,29.05862964042602,0.024,29.24377591350408,0.024,29.23173325702815,0.024,29.21551944273708,0.024,29.19400821132598,0.024,29.1652859925415,0.024,29.12667221907413,0.024,29.0646068672015,0.024,29.24458157030267,0.024,29.23310735001989,0.024,29.21729430331639,0.024,29.19608360028068,0.024,29.16762331207662,0.024,29.12927976853136,0.024,29.06756932619779
0.032,29.22997044429107,0.032,29.20939810486251,0.032,29.18880028107349,0.032,29.166107630052,0.032,29.13871002650848,0.032,29.10371198396935,0.032,29.05115596332391,0.032,29.24115822056479,0.032,29.22876854678865,0.032,29.21424322448319,0.032,29.19636219575137,0.032,29.17333049736462,0.032,29.14289539804134,0.032,29.09609509989867,0.032,29.24486881824417,0.032,29.23512587248542,0.032,29.22249574409152,0.032,29.2060591993582,0.032,29.1842999634322,0.032,29.15517897541185,0.032,29.11005507661191,0.032,29.24610360398869,0.032,29.23723401713583,0.032,29.22522154485121,0.032,29.20924929580117,0.032,29.18789471948949,0.032,29.15918992988199,0.032,29.11459944840538,0.032,29.24672061393806,0.032,29.23828603409784,0.032,29.22657975966484,0.032,29.21083649316403,0.032,29.18968063007763,0.032,29.16117991367789,0.032,29.11685148850867
0.04,29.23528322433418,0.04,29.21978743647302,0.04,29.20430886379303,0.04,29.18731169225787,0.04,29.16683523308262,0.04,29.14072562334575,0.04,29.10259078031994,0.04,29.24385181668645,0.04,29.23461905707454,0.04,29.22378112781486,0.04,29.2104507156142,0.04,29.19328919659925,0.04,29.17063059465941,0.04,29.13677497442811,0.04,29.24669337270531,0.04,29.23948568685856,0.04,29.23009506179043,0.04,29.21786409354122,0.04,29.20166676427113,0.04,29.17999932060782,0.04,29.14738454654295,0.04,29.24763894889571,0.04,29.24109937976426,0.04,29.2321803438961,0.04,29.2203026082978,0.04,29.20441167046353,0.04,29.18305781651009,0.04,29.15083724029874,0.04,29.24811142503222,0.04,29.24190462883162,0.04,29.23321936415156,0.04,29.22151579394464,0.04,29.20577528417776,0.04,29.18457514187162,0.04,29.15254809064342
0.048,29.23911410311442,0.048,29.22743090197881,0.048,29.2157750830021,0.048,29.20302236665902,0.048,29.18770304114208,0.048,29.1682118407817,0.048,29.14040632015527,0.048,29.24567531509683,0.048,29.23878282238538,0.048,29.23066927751281,0.048,29.22070583814693,0.048,29.2078973310507,0.048,29.19100882200179,0.048,29.16638354938947,0.048,29.24785097018891,0.048,29.24250700910629,0.048,29.23549749086534,0.048,29.22636928409622,0.048,29.21428944845949,0.048,29.19814618012586,0.048,29.17443898370064,0.048,29.24857491490523,0.048,29.24374181282819,0.048,29.23709194818255,0.048,29.2282319648486,0.048,29.21638348268154,0.048,29.20047574205429,0.048,29.17705971274139,0.048,29.2489366551385,0.048,29.24435798839614,0.048,29.23788638900268,0.048,29.22915862400766,0.048,29.21742368885979,0.048,29.2016313319427,0.048,29.17835817901103
0.056,29.24179646122031,0.056,29.23297316977174,0.056,29.22416345761796,0.056,29.21456489576622,0.056,29.20307910662356,0.056,29.18850814097779,0.056,29.16813594397591,0.056,29.24681903942187,0.056,29.24165701289403,0.056,29.23554674469719,0.056,29.2280645643747,0.056,29.21847423076526,0.056,29.20585889303092,0.056,29.18784681729949,0.056,29.24848436606704,0.056,29.24450544987174,0.056,29.23923594091523,0.056,29.23238650108584,0.056,29.22334476598866,0.056,29.21128735184026,0.056,29.19395329708521,0.056,29.24903849528714,0.056,29.24544984421313,0.056,29.24045414102606,0.056,29.23380779711248,0.056,29.22494005206324,0.056,29.21305871714829,0.056,29.19593932227639,0.056,29.2493153740152,0.056,29.24592108838077,0.056,29.24106109367745,0.056,29.23451483674828,0.056,29.22573246568115,0.056,29.21393734061734,0.056,29.19692318496508
0.064,29.24356502440943,0.064,29.23688280396114,0.064,29.23018158600376,0.064,29.22291624323953,0.064,29.21427009406986,0.064,29.20334828700022,0.064,29.18834585768844,0.064,29.24740797328454,0.064,29.24351994170808,0.064,29.23887058611878,0.064,29.23320468000651,0.064,29.22598207118833,0.064,29.21652146449764,0.064,29.20326444565184,0.064,29.24868209061487,0.064,29.24569672655255,0.064,29.24168585385955,0.064,29.23649715261389,0.064,29.22968504910034,0.064,29.22063928207727,0.064,29.20788080463755,0.064,29.24910603594217,0.064,29.24641839089189,0.064,29.24261540371076,0.064,29.23757974276235,0.064,29.23089766692768,0.064,29.22198256370436,0.064,29.20938156981873,0.064,29.24931787043112,0.064,29.24677849245786,0.064,29.24307852135309,0.064,29.2381182703539,0.064,29.23149993705677,0.064,29.22264877342647,0.064,29.21012491931476
0.07200000000000001,29.24457723281768,0.07200000000000001,29.23949242806644,0.07200000000000001,29.23433975739937,0.07200000000000001,29.22878700878306,0.07200000000000001,29.22223219481277,0.07200000000000001,29.21400656583724,0.07200000000000001,29.2028925537414,0.07200000000000001,29.24751530854702,0.07200000000000001,29.24455809447079,0.07200000000000001,29.2409583691916,0.07200000000000001,29.23660631062483,0.07200000000000001,29.23111143202266,0.07200000000000001,29.22396738767731,0.07200000000000001,29.21413502663361,0.07200000000000001,29.24848936905001,0.07200000000000001,29.24621921316145,0.07200000000000001,29.24310213118709,0.07200000000000001,29.23910721959325,0.07200000000000001,29.23391632327187,0.07200000000000001,29.22707716230893,0.07200000000000001,29.21760802775924,0.07200000000000001,29.24881346686209,0.07200000000000001,29.2467698979813,0.07200000000000001,29.24380988679097,0.07200000000000001,29.23992938207758,0.07200000000000001,29.23483456119181,0.07200000000000001,29.22809116303045,0.07200000000000001,29.21873641274745,0.07200000000000001,29.24897540691274,0.07200000000000001,29.2470446733926,0.07200000000000001,29.24416249045647,0.07200000000000001,29.24033832296455,0.07200000000000001,29.23529057553514,0.07200000000000001,29.22859397781915,0.07200000000000001,29.21929519344756
